condition_status,year,race,bmi,wtgain,counts,condition
At least one checked,2021,American Indian or Alaska Native,Obesity II 35.0-39.9,Unknown or Not Stated,30,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Extreme Obesity III > 39.9,Less than 11 pounds,515,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Extreme Obesity III > 39.9,11 to 20 pounds,384,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Extreme Obesity III > 39.9,21 to 30 pounds,328,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Extreme Obesity III > 39.9,31 to 40 pounds,173,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Extreme Obesity III > 39.9,41 to 98 pounds,221,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Extreme Obesity III > 39.9,Unknown or Not Stated,41,risk_factors_checked
At least one checked,2021,American Indian or Alaska Native,Unknown or Not Stated,Unknown or Not Stated,324,risk_factors_checked
At least one checked,2021,Asian,Underweight <18.5,Less than 11 pounds,50,risk_factors_checked
At least one checked,2021,Asian,Underweight <18.5,11 to 20 pounds,465,risk_factors_checked
At least one checked,2021,Asian,Underweight <18.5,21 to 30 pounds,993,risk_factors_checked
At least one checked,2021,Asian,Underweight <18.5,31 to 40 pounds,610,risk_factors_checked
At least one checked,2021,Asian,Underweight <18.5,41 to 98 pounds,318,risk_factors_checked
At least one checked,2021,Asian,Underweight <18.5,Unknown or Not Stated,16,risk_factors_checked
At least one checked,2021,Asian,Normal 18.5-24.9,Less than 11 pounds,1692,risk_factors_checked
At least one checked,2021,Asian,Normal 18.5-24.9,11 to 20 pounds,7917,risk_factors_checked
At least one checked,2021,Asian,Normal 18.5-24.9,21 to 30 pounds,14596,risk_factors_checked
At least one checked,2021,Asian,Normal 18.5-24.9,31 to 40 pounds,9841,risk_factors_checked
At least one checked,2021,Asian,Normal 18.5-24.9,41 to 98 pounds,5060,risk_factors_checked
At least one checked,2021,Asian,Normal 18.5-24.9,Unknown or Not Stated,278,risk_factors_checked
At least one checked,2021,Asian,Overweight 25.0-29.9,Less than 11 pounds,2952,risk_factors_checked
At least one checked,2021,Asian,Overweight 25.0-29.9,11 to 20 pounds,6714,risk_factors_checked
At least one checked,2021,Asian,Overweight 25.0-29.9,21 to 30 pounds,8060,risk_factors_checked
At least one checked,2021,Asian,Overweight 25.0-29.9,31 to 40 pounds,4615,risk_factors_checked
At least one checked,2021,Asian,Overweight 25.0-29.9,41 to 98 pounds,2543,risk_factors_checked
At least one checked,2021,Asian,Overweight 25.0-29.9,Unknown or Not Stated,150,risk_factors_checked
At least one checked,2021,Asian,Obesity I 30.0-34.9,Less than 11 pounds,2148,risk_factors_checked
At least one checked,2021,Asian,Obesity I 30.0-34.9,11 to 20 pounds,3332,risk_factors_checked
At least one checked,2021,Asian,Obesity I 30.0-34.9,21 to 30 pounds,2985,risk_factors_checked
At least one checked,2021,Asian,Obesity I 30.0-34.9,31 to 40 pounds,1562,risk_factors_checked
At least one checked,2021,Asian,Obesity I 30.0-34.9,41 to 98 pounds,902,risk_factors_checked
At least one checked,2021,Asian,Obesity I 30.0-34.9,Unknown or Not Stated,97,risk_factors_checked
At least one checked,2021,Asian,Obesity II 35.0-39.9,Less than 11 pounds,840,risk_factors_checked
At least one checked,2021,Asian,Obesity II 35.0-39.9,11 to 20 pounds,949,risk_factors_checked
At least one checked,2021,Asian,Obesity II 35.0-39.9,21 to 30 pounds,807,risk_factors_checked
At least one checked,2021,Asian,Obesity II 35.0-39.9,31 to 40 pounds,396,risk_factors_checked
At least one checked,2021,Asian,Obesity II 35.0-39.9,41 to 98 pounds,247,risk_factors_checked
At least one checked,2021,Asian,Obesity II 35.0-39.9,Unknown or Not Stated,34,risk_factors_checked
At least one checked,2021,Asian,Extreme Obesity III > 39.9,Less than 11 pounds,410,risk_factors_checked
At least one checked,2021,Asian,Extreme Obesity III > 39.9,11 to 20 pounds,347,risk_factors_checked
At least one checked,2021,Asian,Extreme Obesity III > 39.9,21 to 30 pounds,262,risk_factors_checked
At least one checked,2021,Asian,Extreme Obesity III > 39.9,31 to 40 pounds,131,risk_factors_checked
At least one checked,2021,Asian,Extreme Obesity III > 39.9,41 to 98 pounds,98,risk_factors_checked
At least one checked,2021,Asian,Extreme Obesity III > 39.9,Unknown or Not Stated,24,risk_factors_checked
At least one checked,2021,Asian,Unknown or Not Stated,Less than 11 pounds,17,risk_factors_checked
At least one checked,2021,Asian,Unknown or Not Stated,11 to 20 pounds,32,risk_factors_checked
At least one checked,2021,Asian,Unknown or Not Stated,21 to 30 pounds,42,risk_factors_checked
At least one checked,2021,Asian,Unknown or Not Stated,31 to 40 pounds,33,risk_factors_checked
At least one checked,2021,Asian,Unknown or Not Stated,41 to 98 pounds,23,risk_factors_checked
At least one checked,2021,Asian,Unknown or Not Stated,Unknown or Not Stated,1546,risk_factors_checked
At least one checked,2021,Black or African American,Underweight <18.5,Less than 11 pounds,128,risk_factors_checked
At least one checked,2021,Black or African American,Underweight <18.5,11 to 20 pounds,488,risk_factors_checked
At least one checked,2021,Black or African American,Underweight <18.5,21 to 30 pounds,860,risk_factors_checked
At least one checked,2021,Black or African American,Underweight <18.5,31 to 40 pounds,777,risk_factors_checked
At least one checked,2021,Black or African American,Underweight <18.5,41 to 98 pounds,837,risk_factors_checked
At least one checked,2021,Black or African American,Underweight <18.5,Unknown or Not Stated,31,risk_factors_checked
At least one checked,2021,Black or African American,Normal 18.5-24.9,Less than 11 pounds,2662,risk_factors_checked
At least one checked,2021,Black or African American,Normal 18.5-24.9,11 to 20 pounds,7013,risk_factors_checked
At least one checked,2021,Black or African American,Normal 18.5-24.9,21 to 30 pounds,11380,risk_factors_checked
At least one checked,2021,Black or African American,Normal 18.5-24.9,31 to 40 pounds,10082,risk_factors_checked
At least one checked,2021,Black or African American,Normal 18.5-24.9,41 to 98 pounds,12101,risk_factors_checked
At least one checked,2021,Black or African American,Normal 18.5-24.9,Unknown or Not Stated,313,risk_factors_checked
At least one checked,2021,Black or African American,Overweight 25.0-29.9,Less than 11 pounds,5581,risk_factors_checked
At least one checked,2021,Black or African American,Overweight 25.0-29.9,11 to 20 pounds,10711,risk_factors_checked
At least one checked,2021,Black or African American,Overweight 25.0-29.9,21 to 30 pounds,13809,risk_factors_checked
At least one checked,2021,Black or African American,Overweight 25.0-29.9,31 to 40 pounds,10774,risk_factors_checked
At least one checked,2021,Black or African American,Overweight 25.0-29.9,41 to 98 pounds,12761,risk_factors_checked
At least one checked,2021,Black or African American,Overweight 25.0-29.9,Unknown or Not Stated,376,risk_factors_checked
At least one checked,2021,Black or African American,Obesity I 30.0-34.9,Less than 11 pounds,8136,risk_factors_checked
At least one checked,2021,Black or African American,Obesity I 30.0-34.9,11 to 20 pounds,10951,risk_factors_checked
At least one checked,2021,Black or African American,Obesity I 30.0-34.9,21 to 30 pounds,11663,risk_factors_checked
At least one checked,2021,Black or African American,Obesity I 30.0-34.9,31 to 40 pounds,8260,risk_factors_checked
At least one checked,2021,Black or African American,Obesity I 30.0-34.9,41 to 98 pounds,8853,risk_factors_checked
At least one checked,2021,Black or African American,Obesity I 30.0-34.9,Unknown or Not Stated,405,risk_factors_checked
At least one checked,2021,Black or African American,Obesity II 35.0-39.9,Less than 11 pounds,7418,risk_factors_checked
At least one checked,2021,Black or African American,Obesity II 35.0-39.9,11 to 20 pounds,7526,risk_factors_checked
At least one checked,2021,Black or African American,Obesity II 35.0-39.9,21 to 30 pounds,6927,risk_factors_checked
At least one checked,2021,Black or African American,Obesity II 35.0-39.9,31 to 40 pounds,4380,risk_factors_checked
At least one checked,2021,Black or African American,Obesity II 35.0-39.9,41 to 98 pounds,4607,risk_factors_checked
At least one checked,2021,Black or African American,Obesity II 35.0-39.9,Unknown or Not Stated,438,risk_factors_checked
At least one checked,2021,Black or African American,Extreme Obesity III > 39.9,Less than 11 pounds,9799,risk_factors_checked
At least one checked,2021,Black or African American,Extreme Obesity III > 39.9,11 to 20 pounds,7396,risk_factors_checked
At least one checked,2021,Black or African American,Extreme Obesity III > 39.9,21 to 30 pounds,6261,risk_factors_checked
At least one checked,2021,Black or African American,Extreme Obesity III > 39.9,31 to 40 pounds,3710,risk_factors_checked
At least one checked,2021,Black or African American,Extreme Obesity III > 39.9,41 to 98 pounds,4008,risk_factors_checked
At least one checked,2021,Black or African American,Extreme Obesity III > 39.9,Unknown or Not Stated,982,risk_factors_checked
At least one checked,2021,Black or African American,Unknown or Not Stated,Less than 11 pounds,96,risk_factors_checked
At least one checked,2021,Black or African American,Unknown or Not Stated,11 to 20 pounds,106,risk_factors_checked
At least one checked,2021,Black or African American,Unknown or Not Stated,21 to 30 pounds,89,risk_factors_checked
At least one checked,2021,Black or African American,Unknown or Not Stated,31 to 40 pounds,60,risk_factors_checked
At least one checked,2021,Black or African American,Unknown or Not Stated,41 to 98 pounds,75,risk_factors_checked
At least one checked,2021,Black or African American,Unknown or Not Stated,Unknown or Not Stated,4886,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Underweight <18.5,41 to 98 pounds,13,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Normal 18.5-24.9,Less than 11 pounds,60,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Normal 18.5-24.9,11 to 20 pounds,121,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Normal 18.5-24.9,21 to 30 pounds,205,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Normal 18.5-24.9,31 to 40 pounds,165,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Normal 18.5-24.9,41 to 98 pounds,177,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Normal 18.5-24.9,Unknown or Not Stated,10,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Overweight 25.0-29.9,Less than 11 pounds,144,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Overweight 25.0-29.9,11 to 20 pounds,228,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Overweight 25.0-29.9,21 to 30 pounds,295,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Overweight 25.0-29.9,31 to 40 pounds,209,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Overweight 25.0-29.9,41 to 98 pounds,240,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Obesity I 30.0-34.9,Less than 11 pounds,218,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Obesity I 30.0-34.9,11 to 20 pounds,263,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Obesity I 30.0-34.9,21 to 30 pounds,229,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Obesity I 30.0-34.9,31 to 40 pounds,171,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Obesity I 30.0-34.9,41 to 98 pounds,214,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Obesity I 30.0-34.9,Unknown or Not Stated,15,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Obesity II 35.0-39.9,Less than 11 pounds,184,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Obesity II 35.0-39.9,11 to 20 pounds,196,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Obesity II 35.0-39.9,21 to 30 pounds,175,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Obesity II 35.0-39.9,31 to 40 pounds,115,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Obesity II 35.0-39.9,41 to 98 pounds,141,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Obesity II 35.0-39.9,Unknown or Not Stated,17,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Extreme Obesity III > 39.9,Less than 11 pounds,217,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Extreme Obesity III > 39.9,11 to 20 pounds,133,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Extreme Obesity III > 39.9,21 to 30 pounds,143,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Extreme Obesity III > 39.9,31 to 40 pounds,109,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Extreme Obesity III > 39.9,41 to 98 pounds,125,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Extreme Obesity III > 39.9,Unknown or Not Stated,11,risk_factors_checked
At least one checked,2021,Native Hawaiian or Other Pacific Islander,Unknown or Not Stated,Unknown or Not Stated,247,risk_factors_checked
At least one checked,2021,White,Underweight <18.5,Less than 11 pounds,324,risk_factors_checked
At least one checked,2021,White,Underweight <18.5,11 to 20 pounds,1741,risk_factors_checked
At least one checked,2021,White,Underweight <18.5,21 to 30 pounds,3964,risk_factors_checked
At least one checked,2021,White,Underweight <18.5,31 to 40 pounds,3393,risk_factors_checked
At least one checked,2021,White,Underweight <18.5,41 to 98 pounds,3400,risk_factors_checked
At least one checked,2021,White,Underweight <18.5,Unknown or Not Stated,86,risk_factors_checked
At least one checked,2021,White,Normal 18.5-24.9,Less than 11 pounds,7682,risk_factors_checked
At least one checked,2021,White,Normal 18.5-24.9,11 to 20 pounds,32796,risk_factors_checked
At least one checked,2021,White,Normal 18.5-24.9,21 to 30 pounds,76056,risk_factors_checked
At least one checked,2021,White,Normal 18.5-24.9,31 to 40 pounds,73040,risk_factors_checked
At least one checked,2021,White,Normal 18.5-24.9,41 to 98 pounds,66539,risk_factors_checked
At least one checked,2021,White,Normal 18.5-24.9,Unknown or Not Stated,1637,risk_factors_checked
At least one checked,2021,White,Overweight 25.0-29.9,Less than 11 pounds,18080,risk_factors_checked
At least one checked,2021,White,Overweight 25.0-29.9,11 to 20 pounds,43739,risk_factors_checked
At least one checked,2021,White,Overweight 25.0-29.9,21 to 30 pounds,66204,risk_factors_checked
At least one checked,2021,White,Overweight 25.0-29.9,31 to 40 pounds,55641,risk_factors_checked
At least one checked,2021,White,Overweight 25.0-29.9,41 to 98 pounds,56237,risk_factors_checked
At least one checked,2021,White,Overweight 25.0-29.9,Unknown or Not Stated,1460,risk_factors_checked
At least one checked,2021,White,Obesity I 30.0-34.9,Less than 11 pounds,25832,risk_factors_checked
At least one checked,2021,White,Obesity I 30.0-34.9,11 to 20 pounds,40719,risk_factors_checked
At least one checked,2021,White,Obesity I 30.0-34.9,21 to 30 pounds,46052,risk_factors_checked
At least one checked,2021,White,Obesity I 30.0-34.9,31 to 40 pounds,32520,risk_factors_checked
At least one checked,2021,White,Obesity I 30.0-34.9,41 to 98 pounds,31303,risk_factors_checked
At least one checked,2021,White,Obesity I 30.0-34.9,Unknown or Not Stated,1264,risk_factors_checked
At least one checked,2021,White,Obesity II 35.0-39.9,Less than 11 pounds,23611,risk_factors_checked
At least one checked,2021,White,Obesity II 35.0-39.9,11 to 20 pounds,25922,risk_factors_checked
At least one checked,2021,White,Obesity II 35.0-39.9,21 to 30 pounds,24568,risk_factors_checked
At least one checked,2021,White,Obesity II 35.0-39.9,31 to 40 pounds,14909,risk_factors_checked
At least one checked,2021,White,Obesity II 35.0-39.9,41 to 98 pounds,14027,risk_factors_checked
At least one checked,2021,White,Obesity II 35.0-39.9,Unknown or Not Stated,1105,risk_factors_checked
At least one checked,2021,White,Extreme Obesity III > 39.9,Less than 11 pounds,27164,risk_factors_checked
At least one checked,2021,White,Extreme Obesity III > 39.9,11 to 20 pounds,21133,risk_factors_checked
At least one checked,2021,White,Extreme Obesity III > 39.9,21 to 30 pounds,17799,risk_factors_checked
At least one checked,2021,White,Extreme Obesity III > 39.9,31 to 40 pounds,10301,risk_factors_checked
At least one checked,2021,White,Extreme Obesity III > 39.9,41 to 98 pounds,9552,risk_factors_checked
At least one checked,2021,White,Extreme Obesity III > 39.9,Unknown or Not Stated,2210,risk_factors_checked
At least one checked,2021,White,Unknown or Not Stated,Less than 11 pounds,280,risk_factors_checked
At least one checked,2021,White,Unknown or Not Stated,11 to 20 pounds,372,risk_factors_checked
At least one checked,2021,White,Unknown or Not Stated,21 to 30 pounds,466,risk_factors_checked
At least one checked,2021,White,Unknown or Not Stated,31 to 40 pounds,366,risk_factors_checked
At least one checked,2021,White,Unknown or Not Stated,41 to 98 pounds,297,risk_factors_checked
At least one checked,2021,White,Unknown or Not Stated,Unknown or Not Stated,13563,risk_factors_checked
At least one checked,2021,More than one race,Underweight <18.5,Less than 11 pounds,18,risk_factors_checked
At least one checked,2021,More than one race,Underweight <18.5,11 to 20 pounds,66,risk_factors_checked
At least one checked,2021,More than one race,Underweight <18.5,21 to 30 pounds,170,risk_factors_checked
At least one checked,2021,More than one race,Underweight <18.5,31 to 40 pounds,156,risk_factors_checked
At least one checked,2021,More than one race,Underweight <18.5,41 to 98 pounds,167,risk_factors_checked
At least one checked,2021,More than one race,Normal 18.5-24.9,Less than 11 pounds,330,risk_factors_checked
At least one checked,2021,More than one race,Normal 18.5-24.9,11 to 20 pounds,1027,risk_factors_checked
At least one checked,2021,More than one race,Normal 18.5-24.9,21 to 30 pounds,2251,risk_factors_checked
At least one checked,2021,More than one race,Normal 18.5-24.9,31 to 40 pounds,2275,risk_factors_checked
At least one checked,2021,More than one race,Normal 18.5-24.9,41 to 98 pounds,2645,risk_factors_checked
At least one checked,2021,More than one race,Normal 18.5-24.9,Unknown or Not Stated,78,risk_factors_checked
At least one checked,2021,More than one race,Overweight 25.0-29.9,Less than 11 pounds,722,risk_factors_checked
At least one checked,2021,More than one race,Overweight 25.0-29.9,11 to 20 pounds,1380,risk_factors_checked
At least one checked,2021,More than one race,Overweight 25.0-29.9,21 to 30 pounds,2209,risk_factors_checked
At least one checked,2021,More than one race,Overweight 25.0-29.9,31 to 40 pounds,1934,risk_factors_checked
At least one checked,2021,More than one race,Overweight 25.0-29.9,41 to 98 pounds,2468,risk_factors_checked
At least one checked,2021,More than one race,Overweight 25.0-29.9,Unknown or Not Stated,74,risk_factors_checked
At least one checked,2021,More than one race,Obesity I 30.0-34.9,Less than 11 pounds,1057,risk_factors_checked
At least one checked,2021,More than one race,Obesity I 30.0-34.9,11 to 20 pounds,1399,risk_factors_checked
At least one checked,2021,More than one race,Obesity I 30.0-34.9,21 to 30 pounds,1624,risk_factors_checked
At least one checked,2021,More than one race,Obesity I 30.0-34.9,31 to 40 pounds,1238,risk_factors_checked
At least one checked,2021,More than one race,Obesity I 30.0-34.9,41 to 98 pounds,1509,risk_factors_checked
At least one checked,2021,More than one race,Obesity I 30.0-34.9,Unknown or Not Stated,64,risk_factors_checked
At least one checked,2021,More than one race,Obesity II 35.0-39.9,Less than 11 pounds,996,risk_factors_checked
At least one checked,2021,More than one race,Obesity II 35.0-39.9,11 to 20 pounds,1023,risk_factors_checked
At least one checked,2021,More than one race,Obesity II 35.0-39.9,21 to 30 pounds,1065,risk_factors_checked
At least one checked,2021,More than one race,Obesity II 35.0-39.9,31 to 40 pounds,653,risk_factors_checked
At least one checked,2021,More than one race,Obesity II 35.0-39.9,41 to 98 pounds,746,risk_factors_checked
At least one checked,2021,More than one race,Obesity II 35.0-39.9,Unknown or Not Stated,57,risk_factors_checked
At least one checked,2021,More than one race,Extreme Obesity III > 39.9,Less than 11 pounds,1338,risk_factors_checked
At least one checked,2021,More than one race,Extreme Obesity III > 39.9,11 to 20 pounds,969,risk_factors_checked
At least one checked,2021,More than one race,Extreme Obesity III > 39.9,21 to 30 pounds,891,risk_factors_checked
At least one checked,2021,More than one race,Extreme Obesity III > 39.9,31 to 40 pounds,510,risk_factors_checked
At least one checked,2021,More than one race,Extreme Obesity III > 39.9,41 to 98 pounds,593,risk_factors_checked
At least one checked,2021,More than one race,Extreme Obesity III > 39.9,Unknown or Not Stated,169,risk_factors_checked
At least one checked,2021,More than one race,Unknown or Not Stated,Less than 11 pounds,10,risk_factors_checked
At least one checked,2021,More than one race,Unknown or Not Stated,21 to 30 pounds,14,risk_factors_checked
At least one checked,2021,More than one race,Unknown or Not Stated,Unknown or Not Stated,678,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Underweight <18.5,Less than 11 pounds,25,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Underweight <18.5,11 to 20 pounds,77,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Underweight <18.5,21 to 30 pounds,141,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Underweight <18.5,31 to 40 pounds,128,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Underweight <18.5,41 to 98 pounds,170,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Underweight <18.5,Unknown or Not Stated,13,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Normal 18.5-24.9,Less than 11 pounds,461,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Normal 18.5-24.9,11 to 20 pounds,1039,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Normal 18.5-24.9,21 to 30 pounds,1896,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Normal 18.5-24.9,31 to 40 pounds,1838,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Normal 18.5-24.9,41 to 98 pounds,2139,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Normal 18.5-24.9,Unknown or Not Stated,86,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Overweight 25.0-29.9,Less than 11 pounds,730,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Overweight 25.0-29.9,11 to 20 pounds,1103,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Overweight 25.0-29.9,21 to 30 pounds,1512,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Overweight 25.0-29.9,31 to 40 pounds,1264,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Overweight 25.0-29.9,41 to 98 pounds,1398,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Overweight 25.0-29.9,Unknown or Not Stated,86,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Obesity I 30.0-34.9,Less than 11 pounds,715,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Obesity I 30.0-34.9,11 to 20 pounds,827,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Obesity I 30.0-34.9,21 to 30 pounds,889,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Obesity I 30.0-34.9,31 to 40 pounds,650,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Obesity I 30.0-34.9,41 to 98 pounds,656,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Obesity I 30.0-34.9,Unknown or Not Stated,72,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Obesity II 35.0-39.9,Less than 11 pounds,516,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Obesity II 35.0-39.9,11 to 20 pounds,463,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Obesity II 35.0-39.9,21 to 30 pounds,415,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Obesity II 35.0-39.9,31 to 40 pounds,246,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Obesity II 35.0-39.9,41 to 98 pounds,232,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Obesity II 35.0-39.9,Unknown or Not Stated,53,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Extreme Obesity III > 39.9,Less than 11 pounds,373,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Extreme Obesity III > 39.9,11 to 20 pounds,210,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Extreme Obesity III > 39.9,21 to 30 pounds,203,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Extreme Obesity III > 39.9,31 to 40 pounds,112,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Extreme Obesity III > 39.9,41 to 98 pounds,105,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Extreme Obesity III > 39.9,Unknown or Not Stated,32,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Unknown or Not Stated,21 to 30 pounds,17,risk_factors_checked
None checked,2021,American Indian or Alaska Native,Unknown or Not Stated,Unknown or Not Stated,582,risk_factors_checked
None checked,2021,Asian,Underweight <18.5,Less than 11 pounds,149,risk_factors_checked
None checked,2021,Asian,Underweight <18.5,11 to 20 pounds,1203,risk_factors_checked
None checked,2021,Asian,Underweight <18.5,21 to 30 pounds,3287,risk_factors_checked
None checked,2021,Asian,Underweight <18.5,31 to 40 pounds,2462,risk_factors_checked
None checked,2021,Asian,Underweight <18.5,41 to 98 pounds,1154,risk_factors_checked
None checked,2021,Asian,Underweight <18.5,Unknown or Not Stated,54,risk_factors_checked
