"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Number of Previous Cesareans""","""Number of Previous Cesareans Code""","Births"
NA,"""Arkansas""","""05""","""2016""","""2016""","""1 previous cesareans""","""1""",3780
NA,"""Arkansas""","""05""","""2016""","""2016""","""2 previous cesareans""","""2""",1481
NA,"""Arkansas""","""05""","""2016""","""2016""","""3 previous cesareans""","""3""",426
NA,"""Arkansas""","""05""","""2016""","""2016""","""4 or more previous cesareans""","""4""",118
NA,"""Arkansas""","""05""","""2016""","""2016""","""Unknown or Not Stated""","""99""",16
NA,"""Arkansas""","""05""","""2017""","""2017""","""0 previous cesareans""","""0""",31448
NA,"""Arkansas""","""05""","""2017""","""2017""","""1 previous cesareans""","""1""",3950
NA,"""Arkansas""","""05""","""2017""","""2017""","""2 previous cesareans""","""2""",1536
NA,"""Arkansas""","""05""","""2017""","""2017""","""3 previous cesareans""","""3""",456
NA,"""Arkansas""","""05""","""2017""","""2017""","""4 or more previous cesareans""","""4""",118
NA,"""Arkansas""","""05""","""2017""","""2017""","""Unknown or Not Stated""","""99""",12
NA,"""Arkansas""","""05""","""2018""","""2018""","""0 previous cesareans""","""0""",30691
NA,"""Arkansas""","""05""","""2018""","""2018""","""1 previous cesareans""","""1""",4146
NA,"""Arkansas""","""05""","""2018""","""2018""","""2 previous cesareans""","""2""",1578
NA,"""Arkansas""","""05""","""2018""","""2018""","""3 previous cesareans""","""3""",456
NA,"""Arkansas""","""05""","""2018""","""2018""","""4 or more previous cesareans""","""4""",136
NA,"""Arkansas""","""05""","""2018""","""2018""","""Unknown or Not Stated""","""99""",11
NA,"""Arkansas""","""05""","""2019""","""2019""","""0 previous cesareans""","""0""",30338
NA,"""Arkansas""","""05""","""2019""","""2019""","""1 previous cesareans""","""1""",3953
NA,"""Arkansas""","""05""","""2019""","""2019""","""2 previous cesareans""","""2""",1621
NA,"""Arkansas""","""05""","""2019""","""2019""","""3 previous cesareans""","""3""",503
NA,"""Arkansas""","""05""","""2019""","""2019""","""4 or more previous cesareans""","""4""",145
NA,"""Arkansas""","""05""","""2020""","""2020""","""0 previous cesareans""","""0""",29437
NA,"""Arkansas""","""05""","""2020""","""2020""","""1 previous cesareans""","""1""",3885
NA,"""Arkansas""","""05""","""2020""","""2020""","""2 previous cesareans""","""2""",1411
NA,"""Arkansas""","""05""","""2020""","""2020""","""3 previous cesareans""","""3""",395
NA,"""Arkansas""","""05""","""2020""","""2020""","""4 or more previous cesareans""","""4""",113
NA,"""Arkansas""","""05""","""2020""","""2020""","""Unknown or Not Stated""","""99""",10
NA,"""Arkansas""","""05""","""2021""","""2021""","""0 previous cesareans""","""0""",30369
NA,"""Arkansas""","""05""","""2021""","""2021""","""1 previous cesareans""","""1""",3739
NA,"""Arkansas""","""05""","""2021""","""2021""","""2 previous cesareans""","""2""",1326
NA,"""Arkansas""","""05""","""2021""","""2021""","""3 previous cesareans""","""3""",415
NA,"""Arkansas""","""05""","""2021""","""2021""","""4 or more previous cesareans""","""4""",112
NA,"""California""","""06""","""2016""","""2016""","""0 previous cesareans""","""0""",407941
NA,"""California""","""06""","""2016""","""2016""","""1 previous cesareans""","""1""",54392
NA,"""California""","""06""","""2016""","""2016""","""2 previous cesareans""","""2""",19451
NA,"""California""","""06""","""2016""","""2016""","""3 previous cesareans""","""3""",5410
NA,"""California""","""06""","""2016""","""2016""","""4 or more previous cesareans""","""4""",1483
NA,"""California""","""06""","""2016""","""2016""","""Unknown or Not Stated""","""99""",150
NA,"""California""","""06""","""2017""","""2017""","""0 previous cesareans""","""0""",393845
NA,"""California""","""06""","""2017""","""2017""","""1 previous cesareans""","""1""",52168
NA,"""California""","""06""","""2017""","""2017""","""2 previous cesareans""","""2""",18871
NA,"""California""","""06""","""2017""","""2017""","""3 previous cesareans""","""3""",5261
NA,"""California""","""06""","""2017""","""2017""","""4 or more previous cesareans""","""4""",1423
NA,"""California""","""06""","""2017""","""2017""","""Unknown or Not Stated""","""99""",90
NA,"""California""","""06""","""2018""","""2018""","""0 previous cesareans""","""0""",380828
NA,"""California""","""06""","""2018""","""2018""","""1 previous cesareans""","""1""",49517
NA,"""California""","""06""","""2018""","""2018""","""2 previous cesareans""","""2""",18037
NA,"""California""","""06""","""2018""","""2018""","""3 previous cesareans""","""3""",5015
NA,"""California""","""06""","""2018""","""2018""","""4 or more previous cesareans""","""4""",1423
NA,"""California""","""06""","""2018""","""2018""","""Unknown or Not Stated""","""99""",100
NA,"""California""","""06""","""2019""","""2019""","""0 previous cesareans""","""0""",373333
NA,"""California""","""06""","""2019""","""2019""","""1 previous cesareans""","""1""",49116
NA,"""California""","""06""","""2019""","""2019""","""2 previous cesareans""","""2""",17315
NA,"""California""","""06""","""2019""","""2019""","""3 previous cesareans""","""3""",4988
NA,"""California""","""06""","""2019""","""2019""","""4 or more previous cesareans""","""4""",1362
NA,"""California""","""06""","""2019""","""2019""","""Unknown or Not Stated""","""99""",365
NA,"""California""","""06""","""2020""","""2020""","""0 previous cesareans""","""0""",352508
NA,"""California""","""06""","""2020""","""2020""","""1 previous cesareans""","""1""",45335
NA,"""California""","""06""","""2020""","""2020""","""2 previous cesareans""","""2""",16021
NA,"""California""","""06""","""2020""","""2020""","""3 previous cesareans""","""3""",4783
NA,"""California""","""06""","""2020""","""2020""","""4 or more previous cesareans""","""4""",1392
NA,"""California""","""06""","""2020""","""2020""","""Unknown or Not Stated""","""99""",220
NA,"""California""","""06""","""2021""","""2021""","""0 previous cesareans""","""0""",354567
NA,"""California""","""06""","""2021""","""2021""","""1 previous cesareans""","""1""",44417
NA,"""California""","""06""","""2021""","""2021""","""2 previous cesareans""","""2""",15414
NA,"""California""","""06""","""2021""","""2021""","""3 previous cesareans""","""3""",4633
NA,"""California""","""06""","""2021""","""2021""","""4 or more previous cesareans""","""4""",1336
NA,"""California""","""06""","""2021""","""2021""","""Unknown or Not Stated""","""99""",241
NA,"""Colorado""","""08""","""2016""","""2016""","""0 previous cesareans""","""0""",58186
NA,"""Colorado""","""08""","""2016""","""2016""","""1 previous cesareans""","""1""",6028
NA,"""Colorado""","""08""","""2016""","""2016""","""2 previous cesareans""","""2""",1717
NA,"""Colorado""","""08""","""2016""","""2016""","""3 previous cesareans""","""3""",434
NA,"""Colorado""","""08""","""2016""","""2016""","""4 or more previous cesareans""","""4""",113
NA,"""Colorado""","""08""","""2016""","""2016""","""Unknown or Not Stated""","""99""",135
NA,"""Colorado""","""08""","""2017""","""2017""","""0 previous cesareans""","""0""",56196
NA,"""Colorado""","""08""","""2017""","""2017""","""1 previous cesareans""","""1""",5942
NA,"""Colorado""","""08""","""2017""","""2017""","""2 previous cesareans""","""2""",1653
NA,"""Colorado""","""08""","""2017""","""2017""","""3 previous cesareans""","""3""",401
NA,"""Colorado""","""08""","""2017""","""2017""","""4 or more previous cesareans""","""4""",105
NA,"""Colorado""","""08""","""2017""","""2017""","""Unknown or Not Stated""","""99""",85
NA,"""Colorado""","""08""","""2018""","""2018""","""0 previous cesareans""","""0""",55219
NA,"""Colorado""","""08""","""2018""","""2018""","""1 previous cesareans""","""1""",5444
NA,"""Colorado""","""08""","""2018""","""2018""","""2 previous cesareans""","""2""",1609
NA,"""Colorado""","""08""","""2018""","""2018""","""3 previous cesareans""","""3""",402
NA,"""Colorado""","""08""","""2018""","""2018""","""4 or more previous cesareans""","""4""",118
NA,"""Colorado""","""08""","""2018""","""2018""","""Unknown or Not Stated""","""99""",93
NA,"""Colorado""","""08""","""2019""","""2019""","""0 previous cesareans""","""0""",55017
NA,"""Colorado""","""08""","""2019""","""2019""","""1 previous cesareans""","""1""",5628
NA,"""Colorado""","""08""","""2019""","""2019""","""2 previous cesareans""","""2""",1531
NA,"""Colorado""","""08""","""2019""","""2019""","""3 previous cesareans""","""3""",450
NA,"""Colorado""","""08""","""2019""","""2019""","""4 or more previous cesareans""","""4""",133
NA,"""Colorado""","""08""","""2019""","""2019""","""Unknown or Not Stated""","""99""",110
NA,"""Colorado""","""08""","""2020""","""2020""","""0 previous cesareans""","""0""",53825
NA,"""Colorado""","""08""","""2020""","""2020""","""1 previous cesareans""","""1""",5540
NA,"""Colorado""","""08""","""2020""","""2020""","""2 previous cesareans""","""2""",1500
NA,"""Colorado""","""08""","""2020""","""2020""","""3 previous cesareans""","""3""",437
NA,"""Colorado""","""08""","""2020""","""2020""","""4 or more previous cesareans""","""4""",122
NA,"""Colorado""","""08""","""2020""","""2020""","""Unknown or Not Stated""","""99""",70
NA,"""Colorado""","""08""","""2021""","""2021""","""0 previous cesareans""","""0""",55308
NA,"""Colorado""","""08""","""2021""","""2021""","""1 previous cesareans""","""1""",5604
NA,"""Colorado""","""08""","""2021""","""2021""","""2 previous cesareans""","""2""",1488
NA,"""Colorado""","""08""","""2021""","""2021""","""3 previous cesareans""","""3""",364
NA,"""Colorado""","""08""","""2021""","""2021""","""4 or more previous cesareans""","""4""",109
NA,"""Colorado""","""08""","""2021""","""2021""","""Unknown or Not Stated""","""99""",76
NA,"""Connecticut""","""09""","""2016""","""2016""","""0 previous cesareans""","""0""",29859
NA,"""Connecticut""","""09""","""2016""","""2016""","""1 previous cesareans""","""1""",4076
NA,"""Connecticut""","""09""","""2016""","""2016""","""2 previous cesareans""","""2""",1079
NA,"""Connecticut""","""09""","""2016""","""2016""","""3 previous cesareans""","""3""",244
NA,"""Connecticut""","""09""","""2016""","""2016""","""4 or more previous cesareans""","""4""",45
NA,"""Connecticut""","""09""","""2016""","""2016""","""Unknown or Not Stated""","""99""",712
NA,"""Connecticut""","""09""","""2017""","""2017""","""0 previous cesareans""","""0""",29294
NA,"""Connecticut""","""09""","""2017""","""2017""","""1 previous cesareans""","""1""",4234
NA,"""Connecticut""","""09""","""2017""","""2017""","""2 previous cesareans""","""2""",1101
NA,"""Connecticut""","""09""","""2017""","""2017""","""3 previous cesareans""","""3""",259
NA,"""Connecticut""","""09""","""2017""","""2017""","""4 or more previous cesareans""","""4""",49
NA,"""Connecticut""","""09""","""2017""","""2017""","""Unknown or Not Stated""","""99""",284
NA,"""Connecticut""","""09""","""2018""","""2018""","""0 previous cesareans""","""0""",28915
NA,"""Connecticut""","""09""","""2018""","""2018""","""1 previous cesareans""","""1""",4218
NA,"""Connecticut""","""09""","""2018""","""2018""","""2 previous cesareans""","""2""",1172
NA,"""Connecticut""","""09""","""2018""","""2018""","""3 previous cesareans""","""3""",249
NA,"""Connecticut""","""09""","""2018""","""2018""","""4 or more previous cesareans""","""4""",56
NA,"""Connecticut""","""09""","""2018""","""2018""","""Unknown or Not Stated""","""99""",115
NA,"""Connecticut""","""09""","""2019""","""2019""","""0 previous cesareans""","""0""",28384
NA,"""Connecticut""","""09""","""2019""","""2019""","""1 previous cesareans""","""1""",4237
NA,"""Connecticut""","""09""","""2019""","""2019""","""2 previous cesareans""","""2""",1188
NA,"""Connecticut""","""09""","""2019""","""2019""","""3 previous cesareans""","""3""",262
NA,"""Connecticut""","""09""","""2019""","""2019""","""4 or more previous cesareans""","""4""",63
NA,"""Connecticut""","""09""","""2019""","""2019""","""Unknown or Not Stated""","""99""",124
NA,"""Connecticut""","""09""","""2020""","""2020""","""0 previous cesareans""","""0""",27959
NA,"""Connecticut""","""09""","""2020""","""2020""","""1 previous cesareans""","""1""",3919
NA,"""Connecticut""","""09""","""2020""","""2020""","""2 previous cesareans""","""2""",1079
NA,"""Connecticut""","""09""","""2020""","""2020""","""3 previous cesareans""","""3""",278
NA,"""Connecticut""","""09""","""2020""","""2020""","""4 or more previous cesareans""","""4""",69
NA,"""Connecticut""","""09""","""2020""","""2020""","""Unknown or Not Stated""","""99""",156
NA,"""Connecticut""","""09""","""2021""","""2021""","""0 previous cesareans""","""0""",29782
NA,"""Connecticut""","""09""","""2021""","""2021""","""1 previous cesareans""","""1""",4278
NA,"""Connecticut""","""09""","""2021""","""2021""","""2 previous cesareans""","""2""",1234
NA,"""Connecticut""","""09""","""2021""","""2021""","""3 previous cesareans""","""3""",284
NA,"""Connecticut""","""09""","""2021""","""2021""","""4 or more previous cesareans""","""4""",65
NA,"""Connecticut""","""09""","""2021""","""2021""","""Unknown or Not Stated""","""99""",27
NA,"""Delaware""","""10""","""2016""","""2016""","""0 previous cesareans""","""0""",9149
NA,"""Delaware""","""10""","""2016""","""2016""","""1 previous cesareans""","""1""",1504
NA,"""Delaware""","""10""","""2016""","""2016""","""2 previous cesareans""","""2""",254
NA,"""Delaware""","""10""","""2016""","""2016""","""3 previous cesareans""","""3""",71
NA,"""Delaware""","""10""","""2016""","""2016""","""4 or more previous cesareans""","""4""",13
NA,"""Delaware""","""10""","""2017""","""2017""","""0 previous cesareans""","""0""",8999
NA,"""Delaware""","""10""","""2017""","""2017""","""1 previous cesareans""","""1""",1501
NA,"""Delaware""","""10""","""2017""","""2017""","""2 previous cesareans""","""2""",273
NA,"""Delaware""","""10""","""2017""","""2017""","""3 previous cesareans""","""3""",61
NA,"""Delaware""","""10""","""2017""","""2017""","""4 or more previous cesareans""","""4""",19
NA,"""Delaware""","""10""","""2018""","""2018""","""0 previous cesareans""","""0""",8853
NA,"""Delaware""","""10""","""2018""","""2018""","""1 previous cesareans""","""1""",1415
NA,"""Delaware""","""10""","""2018""","""2018""","""2 previous cesareans""","""2""",258
NA,"""Delaware""","""10""","""2018""","""2018""","""3 previous cesareans""","""3""",65
NA,"""Delaware""","""10""","""2018""","""2018""","""4 or more previous cesareans""","""4""",25
NA,"""Delaware""","""10""","""2019""","""2019""","""0 previous cesareans""","""0""",9031
NA,"""Delaware""","""10""","""2019""","""2019""","""1 previous cesareans""","""1""",1198
NA,"""Delaware""","""10""","""2019""","""2019""","""2 previous cesareans""","""2""",231
NA,"""Delaware""","""10""","""2019""","""2019""","""3 previous cesareans""","""3""",64
NA,"""Delaware""","""10""","""2019""","""2019""","""4 or more previous cesareans""","""4""",23
NA,"""Delaware""","""10""","""2019""","""2019""","""Unknown or Not Stated""","""99""",15
NA,"""Delaware""","""10""","""2020""","""2020""","""0 previous cesareans""","""0""",8884
NA,"""Delaware""","""10""","""2020""","""2020""","""1 previous cesareans""","""1""",1199
NA,"""Delaware""","""10""","""2020""","""2020""","""2 previous cesareans""","""2""",195
NA,"""Delaware""","""10""","""2020""","""2020""","""3 previous cesareans""","""3""",55
NA,"""Delaware""","""10""","""2020""","""2020""","""4 or more previous cesareans""","""4""",25
NA,"""Delaware""","""10""","""2020""","""2020""","""Unknown or Not Stated""","""99""",34
NA,"""Delaware""","""10""","""2021""","""2021""","""0 previous cesareans""","""0""",9021
NA,"""Delaware""","""10""","""2021""","""2021""","""1 previous cesareans""","""1""",1221
NA,"""Delaware""","""10""","""2021""","""2021""","""2 previous cesareans""","""2""",157
NA,"""Delaware""","""10""","""2021""","""2021""","""3 previous cesareans""","""3""",46
NA,"""Delaware""","""10""","""2021""","""2021""","""4 or more previous cesareans""","""4""",11
NA,"""Delaware""","""10""","""2021""","""2021""","""Unknown or Not Stated""","""99""",26
NA,"""District of Columbia""","""11""","""2016""","""2016""","""0 previous cesareans""","""0""",8520
NA,"""District of Columbia""","""11""","""2016""","""2016""","""1 previous cesareans""","""1""",1000
NA,"""District of Columbia""","""11""","""2016""","""2016""","""2 previous cesareans""","""2""",239
NA,"""District of Columbia""","""11""","""2016""","""2016""","""3 previous cesareans""","""3""",63
NA,"""District of Columbia""","""11""","""2016""","""2016""","""4 or more previous cesareans""","""4""",19
NA,"""District of Columbia""","""11""","""2016""","""2016""","""Unknown or Not Stated""","""99""",17
NA,"""District of Columbia""","""11""","""2017""","""2017""","""0 previous cesareans""","""0""",8229
NA,"""District of Columbia""","""11""","""2017""","""2017""","""1 previous cesareans""","""1""",996
NA,"""District of Columbia""","""11""","""2017""","""2017""","""2 previous cesareans""","""2""",248
NA,"""District of Columbia""","""11""","""2017""","""2017""","""3 previous cesareans""","""3""",63
NA,"""District of Columbia""","""11""","""2017""","""2017""","""4 or more previous cesareans""","""4""",21
NA,"""District of Columbia""","""11""","""2018""","""2018""","""0 previous cesareans""","""0""",7862
NA,"""District of Columbia""","""11""","""2018""","""2018""","""1 previous cesareans""","""1""",1001
NA,"""District of Columbia""","""11""","""2018""","""2018""","""2 previous cesareans""","""2""",254
NA,"""District of Columbia""","""11""","""2018""","""2018""","""3 previous cesareans""","""3""",64
NA,"""District of Columbia""","""11""","""2018""","""2018""","""4 or more previous cesareans""","""4""",29
NA,"""District of Columbia""","""11""","""2019""","""2019""","""0 previous cesareans""","""0""",7662
NA,"""District of Columbia""","""11""","""2019""","""2019""","""1 previous cesareans""","""1""",1024
NA,"""District of Columbia""","""11""","""2019""","""2019""","""2 previous cesareans""","""2""",287
NA,"""District of Columbia""","""11""","""2019""","""2019""","""3 previous cesareans""","""3""",73
NA,"""District of Columbia""","""11""","""2019""","""2019""","""4 or more previous cesareans""","""4""",29
NA,"""District of Columbia""","""11""","""2020""","""2020""","""0 previous cesareans""","""0""",7592
NA,"""District of Columbia""","""11""","""2020""","""2020""","""1 previous cesareans""","""1""",965
NA,"""District of Columbia""","""11""","""2020""","""2020""","""2 previous cesareans""","""2""",228
NA,"""District of Columbia""","""11""","""2020""","""2020""","""3 previous cesareans""","""3""",58
NA,"""District of Columbia""","""11""","""2020""","""2020""","""4 or more previous cesareans""","""4""",27
NA,"""District of Columbia""","""11""","""2021""","""2021""","""0 previous cesareans""","""0""",7584
NA,"""District of Columbia""","""11""","""2021""","""2021""","""1 previous cesareans""","""1""",794
NA,"""District of Columbia""","""11""","""2021""","""2021""","""2 previous cesareans""","""2""",189
NA,"""District of Columbia""","""11""","""2021""","""2021""","""3 previous cesareans""","""3""",70
NA,"""District of Columbia""","""11""","""2021""","""2021""","""4 or more previous cesareans""","""4""",17
NA,"""Florida""","""12""","""2016""","""2016""","""0 previous cesareans""","""0""",190348
NA,"""Florida""","""12""","""2016""","""2016""","""1 previous cesareans""","""1""",23802
NA,"""Florida""","""12""","""2016""","""2016""","""2 previous cesareans""","""2""",7898
NA,"""Florida""","""12""","""2016""","""2016""","""3 previous cesareans""","""3""",1890
NA,"""Florida""","""12""","""2016""","""2016""","""4 or more previous cesareans""","""4""",397
NA,"""Florida""","""12""","""2016""","""2016""","""Unknown or Not Stated""","""99""",687
NA,"""Florida""","""12""","""2017""","""2017""","""0 previous cesareans""","""0""",189060
NA,"""Florida""","""12""","""2017""","""2017""","""1 previous cesareans""","""1""",23522
NA,"""Florida""","""12""","""2017""","""2017""","""2 previous cesareans""","""2""",7889
NA,"""Florida""","""12""","""2017""","""2017""","""3 previous cesareans""","""3""",1893
NA,"""Florida""","""12""","""2017""","""2017""","""4 or more previous cesareans""","""4""",520
NA,"""Florida""","""12""","""2017""","""2017""","""Unknown or Not Stated""","""99""",746
NA,"""Florida""","""12""","""2018""","""2018""","""0 previous cesareans""","""0""",185910
NA,"""Florida""","""12""","""2018""","""2018""","""1 previous cesareans""","""1""",24283
NA,"""Florida""","""12""","""2018""","""2018""","""2 previous cesareans""","""2""",8147
NA,"""Florida""","""12""","""2018""","""2018""","""3 previous cesareans""","""3""",2045
NA,"""Florida""","""12""","""2018""","""2018""","""4 or more previous cesareans""","""4""",528
