"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Eclampsia""","""Eclampsia Code""","Births"
NA,"""Colorado""","""08""","""2020""","""2020""","""Yes""","""1""",1048
NA,"""Colorado""","""08""","""2020""","""2020""","""No""","""2""",60431
NA,"""Colorado""","""08""","""2020""","""2020""","""Unknown or Not Stated""","""9""",15
NA,"""Colorado""","""08""","""2021""","""2021""","""Yes""","""1""",768
NA,"""Colorado""","""08""","""2021""","""2021""","""No""","""2""",62172
NA,"""Connecticut""","""09""","""2016""","""2016""","""Yes""","""1""",111
NA,"""Connecticut""","""09""","""2016""","""2016""","""No""","""2""",35210
NA,"""Connecticut""","""09""","""2016""","""2016""","""Unknown or Not Stated""","""9""",694
NA,"""Connecticut""","""09""","""2017""","""2017""","""Yes""","""1""",117
NA,"""Connecticut""","""09""","""2017""","""2017""","""No""","""2""",34831
NA,"""Connecticut""","""09""","""2017""","""2017""","""Unknown or Not Stated""","""9""",273
NA,"""Connecticut""","""09""","""2018""","""2018""","""Yes""","""1""",144
NA,"""Connecticut""","""09""","""2018""","""2018""","""No""","""2""",34470
NA,"""Connecticut""","""09""","""2018""","""2018""","""Unknown or Not Stated""","""9""",111
NA,"""Connecticut""","""09""","""2019""","""2019""","""Yes""","""1""",159
NA,"""Connecticut""","""09""","""2019""","""2019""","""No""","""2""",33978
NA,"""Connecticut""","""09""","""2019""","""2019""","""Unknown or Not Stated""","""9""",121
NA,"""Connecticut""","""09""","""2020""","""2020""","""Yes""","""1""",116
NA,"""Connecticut""","""09""","""2020""","""2020""","""No""","""2""",33205
NA,"""Connecticut""","""09""","""2020""","""2020""","""Unknown or Not Stated""","""9""",139
NA,"""Connecticut""","""09""","""2021""","""2021""","""Yes""","""1""",129
NA,"""Connecticut""","""09""","""2021""","""2021""","""No""","""2""",35516
NA,"""Connecticut""","""09""","""2021""","""2021""","""Unknown or Not Stated""","""9""",25
NA,"""Delaware""","""10""","""2016""","""2016""","""Yes""","""1""",14
NA,"""Delaware""","""10""","""2016""","""2016""","""No""","""2""",10977
NA,"""Delaware""","""10""","""2017""","""2017""","""No""","""2""",10850
NA,"""Delaware""","""10""","""2018""","""2018""","""Yes""","""1""",62
NA,"""Delaware""","""10""","""2018""","""2018""","""No""","""2""",10555
NA,"""Delaware""","""10""","""2019""","""2019""","""Yes""","""1""",305
NA,"""Delaware""","""10""","""2019""","""2019""","""No""","""2""",10242
NA,"""Delaware""","""10""","""2019""","""2019""","""Unknown or Not Stated""","""9""",15
NA,"""Delaware""","""10""","""2020""","""2020""","""Yes""","""1""",35
NA,"""Delaware""","""10""","""2020""","""2020""","""No""","""2""",10325
NA,"""Delaware""","""10""","""2020""","""2020""","""Unknown or Not Stated""","""9""",32
NA,"""Delaware""","""10""","""2021""","""2021""","""Yes""","""1""",18
NA,"""Delaware""","""10""","""2021""","""2021""","""No""","""2""",10438
NA,"""Delaware""","""10""","""2021""","""2021""","""Unknown or Not Stated""","""9""",26
NA,"""District of Columbia""","""11""","""2016""","""2016""","""Yes""","""1""",37
NA,"""District of Columbia""","""11""","""2016""","""2016""","""No""","""2""",9806
NA,"""District of Columbia""","""11""","""2016""","""2016""","""Unknown or Not Stated""","""9""",15
NA,"""District of Columbia""","""11""","""2017""","""2017""","""Yes""","""1""",33
NA,"""District of Columbia""","""11""","""2017""","""2017""","""No""","""2""",9526
NA,"""District of Columbia""","""11""","""2018""","""2018""","""Yes""","""1""",24
NA,"""District of Columbia""","""11""","""2018""","""2018""","""No""","""2""",9186
NA,"""District of Columbia""","""11""","""2019""","""2019""","""Yes""","""1""",27
NA,"""District of Columbia""","""11""","""2019""","""2019""","""No""","""2""",9048
NA,"""District of Columbia""","""11""","""2020""","""2020""","""Yes""","""1""",18
NA,"""District of Columbia""","""11""","""2020""","""2020""","""No""","""2""",8852
NA,"""District of Columbia""","""11""","""2021""","""2021""","""Yes""","""1""",40
NA,"""District of Columbia""","""11""","""2021""","""2021""","""No""","""2""",8614
NA,"""Florida""","""12""","""2016""","""2016""","""Yes""","""1""",216
NA,"""Florida""","""12""","""2016""","""2016""","""No""","""2""",224390
NA,"""Florida""","""12""","""2016""","""2016""","""Unknown or Not Stated""","""9""",416
NA,"""Florida""","""12""","""2017""","""2017""","""Yes""","""1""",229
NA,"""Florida""","""12""","""2017""","""2017""","""No""","""2""",222897
NA,"""Florida""","""12""","""2017""","""2017""","""Unknown or Not Stated""","""9""",504
NA,"""Florida""","""12""","""2018""","""2018""","""Yes""","""1""",283
NA,"""Florida""","""12""","""2018""","""2018""","""No""","""2""",220787
NA,"""Florida""","""12""","""2018""","""2018""","""Unknown or Not Stated""","""9""",472
NA,"""Florida""","""12""","""2019""","""2019""","""Yes""","""1""",294
NA,"""Florida""","""12""","""2019""","""2019""","""No""","""2""",219391
NA,"""Florida""","""12""","""2019""","""2019""","""Unknown or Not Stated""","""9""",317
NA,"""Florida""","""12""","""2020""","""2020""","""Yes""","""1""",285
NA,"""Florida""","""12""","""2020""","""2020""","""No""","""2""",209092
NA,"""Florida""","""12""","""2020""","""2020""","""Unknown or Not Stated""","""9""",294
NA,"""Florida""","""12""","""2021""","""2021""","""Yes""","""1""",297
NA,"""Florida""","""12""","""2021""","""2021""","""No""","""2""",215284
NA,"""Florida""","""12""","""2021""","""2021""","""Unknown or Not Stated""","""9""",679
NA,"""Georgia""","""13""","""2016""","""2016""","""Yes""","""1""",185
NA,"""Georgia""","""13""","""2016""","""2016""","""No""","""2""",129509
NA,"""Georgia""","""13""","""2016""","""2016""","""Unknown or Not Stated""","""9""",348
NA,"""Georgia""","""13""","""2017""","""2017""","""Yes""","""1""",250
NA,"""Georgia""","""13""","""2017""","""2017""","""No""","""2""",128611
NA,"""Georgia""","""13""","""2017""","""2017""","""Unknown or Not Stated""","""9""",382
NA,"""Georgia""","""13""","""2018""","""2018""","""Yes""","""1""",274
NA,"""Georgia""","""13""","""2018""","""2018""","""No""","""2""",125637
NA,"""Georgia""","""13""","""2018""","""2018""","""Unknown or Not Stated""","""9""",261
NA,"""Georgia""","""13""","""2019""","""2019""","""Yes""","""1""",286
NA,"""Georgia""","""13""","""2019""","""2019""","""No""","""2""",125884
NA,"""Georgia""","""13""","""2019""","""2019""","""Unknown or Not Stated""","""9""",201
NA,"""Georgia""","""13""","""2020""","""2020""","""Yes""","""1""",218
NA,"""Georgia""","""13""","""2020""","""2020""","""No""","""2""",122112
NA,"""Georgia""","""13""","""2020""","""2020""","""Unknown or Not Stated""","""9""",143
NA,"""Georgia""","""13""","""2021""","""2021""","""Yes""","""1""",239
NA,"""Georgia""","""13""","""2021""","""2021""","""No""","""2""",123665
NA,"""Georgia""","""13""","""2021""","""2021""","""Unknown or Not Stated""","""9""",169
NA,"""Hawaii""","""15""","""2016""","""2016""","""Yes""","""1""",306
NA,"""Hawaii""","""15""","""2016""","""2016""","""No""","""2""",17753
NA,"""Hawaii""","""15""","""2017""","""2017""","""Yes""","""1""",583
NA,"""Hawaii""","""15""","""2017""","""2017""","""No""","""2""",16934
NA,"""Hawaii""","""15""","""2018""","""2018""","""Yes""","""1""",769
NA,"""Hawaii""","""15""","""2018""","""2018""","""No""","""2""",16203
NA,"""Hawaii""","""15""","""2019""","""2019""","""Yes""","""1""",941
NA,"""Hawaii""","""15""","""2019""","""2019""","""No""","""2""",15856
NA,"""Hawaii""","""15""","""2020""","""2020""","""Yes""","""1""",1040
NA,"""Hawaii""","""15""","""2020""","""2020""","""No""","""2""",14744
NA,"""Hawaii""","""15""","""2021""","""2021""","""Yes""","""1""",1011
NA,"""Hawaii""","""15""","""2021""","""2021""","""No""","""2""",14609
NA,"""Idaho""","""16""","""2016""","""2016""","""Yes""","""1""",27
NA,"""Idaho""","""16""","""2016""","""2016""","""No""","""2""",22431
NA,"""Idaho""","""16""","""2016""","""2016""","""Unknown or Not Stated""","""9""",24
NA,"""Idaho""","""16""","""2017""","""2017""","""Yes""","""1""",13
NA,"""Idaho""","""16""","""2017""","""2017""","""No""","""2""",22151
NA,"""Idaho""","""16""","""2017""","""2017""","""Unknown or Not Stated""","""9""",17
NA,"""Idaho""","""16""","""2018""","""2018""","""Yes""","""1""",33
NA,"""Idaho""","""16""","""2018""","""2018""","""No""","""2""",21349
NA,"""Idaho""","""16""","""2018""","""2018""","""Unknown or Not Stated""","""9""",21
NA,"""Idaho""","""16""","""2019""","""2019""","""Yes""","""1""",16
NA,"""Idaho""","""16""","""2019""","""2019""","""No""","""2""",22034
NA,"""Idaho""","""16""","""2019""","""2019""","""Unknown or Not Stated""","""9""",13
NA,"""Idaho""","""16""","""2020""","""2020""","""Yes""","""1""",17
NA,"""Idaho""","""16""","""2020""","""2020""","""No""","""2""",21498
NA,"""Idaho""","""16""","""2020""","""2020""","""Unknown or Not Stated""","""9""",18
NA,"""Idaho""","""16""","""2021""","""2021""","""No""","""2""",22401
NA,"""Idaho""","""16""","""2021""","""2021""","""Unknown or Not Stated""","""9""",19
NA,"""Illinois""","""17""","""2016""","""2016""","""Yes""","""1""",233
NA,"""Illinois""","""17""","""2016""","""2016""","""No""","""2""",153986
NA,"""Illinois""","""17""","""2016""","""2016""","""Unknown or Not Stated""","""9""",226
NA,"""Illinois""","""17""","""2017""","""2017""","""Yes""","""1""",292
NA,"""Illinois""","""17""","""2017""","""2017""","""No""","""2""",148733
NA,"""Illinois""","""17""","""2017""","""2017""","""Unknown or Not Stated""","""9""",365
NA,"""Illinois""","""17""","""2018""","""2018""","""Yes""","""1""",228
NA,"""Illinois""","""17""","""2018""","""2018""","""No""","""2""",144334
NA,"""Illinois""","""17""","""2018""","""2018""","""Unknown or Not Stated""","""9""",253
NA,"""Illinois""","""17""","""2019""","""2019""","""Yes""","""1""",192
NA,"""Illinois""","""17""","""2019""","""2019""","""No""","""2""",139814
NA,"""Illinois""","""17""","""2019""","""2019""","""Unknown or Not Stated""","""9""",122
NA,"""Illinois""","""17""","""2020""","""2020""","""Yes""","""1""",141
NA,"""Illinois""","""17""","""2020""","""2020""","""No""","""2""",132989
NA,"""Illinois""","""17""","""2020""","""2020""","""Unknown or Not Stated""","""9""",168
NA,"""Illinois""","""17""","""2021""","""2021""","""Yes""","""1""",108
NA,"""Illinois""","""17""","""2021""","""2021""","""No""","""2""",131958
NA,"""Illinois""","""17""","""2021""","""2021""","""Unknown or Not Stated""","""9""",123
NA,"""Indiana""","""18""","""2016""","""2016""","""Yes""","""1""",154
NA,"""Indiana""","""18""","""2016""","""2016""","""No""","""2""",82933
NA,"""Indiana""","""18""","""2017""","""2017""","""Yes""","""1""",135
NA,"""Indiana""","""18""","""2017""","""2017""","""No""","""2""",82025
NA,"""Indiana""","""18""","""2017""","""2017""","""Unknown or Not Stated""","""9""",10
NA,"""Indiana""","""18""","""2018""","""2018""","""Yes""","""1""",127
NA,"""Indiana""","""18""","""2018""","""2018""","""No""","""2""",81510
NA,"""Indiana""","""18""","""2019""","""2019""","""Yes""","""1""",104
NA,"""Indiana""","""18""","""2019""","""2019""","""No""","""2""",80751
NA,"""Indiana""","""18""","""2020""","""2020""","""Yes""","""1""",109
NA,"""Indiana""","""18""","""2020""","""2020""","""No""","""2""",78460
NA,"""Indiana""","""18""","""2020""","""2020""","""Unknown or Not Stated""","""9""",47
NA,"""Indiana""","""18""","""2021""","""2021""","""Yes""","""1""",139
NA,"""Indiana""","""18""","""2021""","""2021""","""No""","""2""",79346
NA,"""Indiana""","""18""","""2021""","""2021""","""Unknown or Not Stated""","""9""",461
NA,"""Iowa""","""19""","""2016""","""2016""","""Yes""","""1""",75
NA,"""Iowa""","""19""","""2016""","""2016""","""No""","""2""",39327
NA,"""Iowa""","""19""","""2017""","""2017""","""Yes""","""1""",65
NA,"""Iowa""","""19""","""2017""","""2017""","""No""","""2""",38363
NA,"""Iowa""","""19""","""2018""","""2018""","""Yes""","""1""",67
NA,"""Iowa""","""19""","""2018""","""2018""","""No""","""2""",37718
NA,"""Iowa""","""19""","""2019""","""2019""","""Yes""","""1""",81
NA,"""Iowa""","""19""","""2019""","""2019""","""No""","""2""",37566
NA,"""Iowa""","""19""","""2020""","""2020""","""Yes""","""1""",83
NA,"""Iowa""","""19""","""2020""","""2020""","""No""","""2""",36030
NA,"""Iowa""","""19""","""2021""","""2021""","""Yes""","""1""",82
NA,"""Iowa""","""19""","""2021""","""2021""","""No""","""2""",36745
NA,"""Kansas""","""20""","""2016""","""2016""","""Yes""","""1""",94
NA,"""Kansas""","""20""","""2016""","""2016""","""No""","""2""",37959
NA,"""Kansas""","""20""","""2017""","""2017""","""Yes""","""1""",126
NA,"""Kansas""","""20""","""2017""","""2017""","""No""","""2""",36393
NA,"""Kansas""","""20""","""2018""","""2018""","""Yes""","""1""",170
NA,"""Kansas""","""20""","""2018""","""2018""","""No""","""2""",36091
NA,"""Kansas""","""20""","""2019""","""2019""","""Yes""","""1""",227
NA,"""Kansas""","""20""","""2019""","""2019""","""No""","""2""",35168
NA,"""Kansas""","""20""","""2020""","""2020""","""Yes""","""1""",123
NA,"""Kansas""","""20""","""2020""","""2020""","""No""","""2""",34252
NA,"""Kansas""","""20""","""2021""","""2021""","""Yes""","""1""",89
NA,"""Kansas""","""20""","""2021""","""2021""","""No""","""2""",34614
NA,"""Kentucky""","""21""","""2016""","""2016""","""Yes""","""1""",75
NA,"""Kentucky""","""21""","""2016""","""2016""","""No""","""2""",55093
NA,"""Kentucky""","""21""","""2016""","""2016""","""Unknown or Not Stated""","""9""",281
NA,"""Kentucky""","""21""","""2017""","""2017""","""Yes""","""1""",90
NA,"""Kentucky""","""21""","""2017""","""2017""","""No""","""2""",54470
NA,"""Kentucky""","""21""","""2017""","""2017""","""Unknown or Not Stated""","""9""",192
NA,"""Kentucky""","""21""","""2018""","""2018""","""Yes""","""1""",44
NA,"""Kentucky""","""21""","""2018""","""2018""","""No""","""2""",53738
NA,"""Kentucky""","""21""","""2018""","""2018""","""Unknown or Not Stated""","""9""",140
NA,"""Kentucky""","""21""","""2019""","""2019""","""Yes""","""1""",74
NA,"""Kentucky""","""21""","""2019""","""2019""","""No""","""2""",52849
NA,"""Kentucky""","""21""","""2019""","""2019""","""Unknown or Not Stated""","""9""",146
NA,"""Kentucky""","""21""","""2020""","""2020""","""Yes""","""1""",70
NA,"""Kentucky""","""21""","""2020""","""2020""","""No""","""2""",51055
NA,"""Kentucky""","""21""","""2020""","""2020""","""Unknown or Not Stated""","""9""",543
NA,"""Kentucky""","""21""","""2021""","""2021""","""Yes""","""1""",105
NA,"""Kentucky""","""21""","""2021""","""2021""","""No""","""2""",51870
NA,"""Kentucky""","""21""","""2021""","""2021""","""Unknown or Not Stated""","""9""",239
NA,"""Louisiana""","""22""","""2016""","""2016""","""Yes""","""1""",88
NA,"""Louisiana""","""22""","""2016""","""2016""","""No""","""2""",63090
NA,"""Louisiana""","""22""","""2017""","""2017""","""Yes""","""1""",103
NA,"""Louisiana""","""22""","""2017""","""2017""","""No""","""2""",60915
NA,"""Louisiana""","""22""","""2018""","""2018""","""Yes""","""1""",95
NA,"""Louisiana""","""22""","""2018""","""2018""","""No""","""2""",59520
NA,"""Louisiana""","""22""","""2019""","""2019""","""Yes""","""1""",93
NA,"""Louisiana""","""22""","""2019""","""2019""","""No""","""2""",58847
NA,"""Louisiana""","""22""","""2020""","""2020""","""Yes""","""1""",99
NA,"""Louisiana""","""22""","""2020""","""2020""","""No""","""2""",57228
NA,"""Louisiana""","""22""","""2021""","""2021""","""Yes""","""1""",137
NA,"""Louisiana""","""22""","""2021""","""2021""","""No""","""2""",57298
NA,"""Maine""","""23""","""2016""","""2016""","""Yes""","""1""",23
NA,"""Maine""","""23""","""2016""","""2016""","""No""","""2""",12667
NA,"""Maine""","""23""","""2016""","""2016""","""Unknown or Not Stated""","""9""",15
NA,"""Maine""","""23""","""2017""","""2017""","""Yes""","""1""",12
NA,"""Maine""","""23""","""2017""","""2017""","""No""","""2""",12284
NA,"""Maine""","""23""","""2018""","""2018""","""Yes""","""1""",26
NA,"""Maine""","""23""","""2018""","""2018""","""No""","""2""",12284
NA,"""Maine""","""23""","""2019""","""2019""","""Yes""","""1""",17
NA,"""Maine""","""23""","""2019""","""2019""","""No""","""2""",11760
NA,"""Maine""","""23""","""2020""","""2020""","""No""","""2""",11538
NA,"""Maine""","""23""","""2021""","""2021""","""No""","""2""",12000
NA,"""Maryland""","""24""","""2016""","""2016""","""Yes""","""1""",215
NA,"""Maryland""","""24""","""2016""","""2016""","""No""","""2""",72910
NA,"""Maryland""","""24""","""2016""","""2016""","""Unknown or Not Stated""","""9""",11
NA,"""Maryland""","""24""","""2017""","""2017""","""Yes""","""1""",145
NA,"""Maryland""","""24""","""2017""","""2017""","""No""","""2""",71427
NA,"""Maryland""","""24""","""2017""","""2017""","""Unknown or Not Stated""","""9""",69
NA,"""Maryland""","""24""","""2018""","""2018""","""Yes""","""1""",136
NA,"""Maryland""","""24""","""2018""","""2018""","""No""","""2""",70902
NA,"""Maryland""","""24""","""2018""","""2018""","""Unknown or Not Stated""","""9""",42
NA,"""Maryland""","""24""","""2019""","""2019""","""Yes""","""1""",161
NA,"""Maryland""","""24""","""2019""","""2019""","""No""","""2""",69977
NA,"""Maryland""","""24""","""2019""","""2019""","""Unknown or Not Stated""","""9""",40
NA,"""Maryland""","""24""","""2020""","""2020""","""Yes""","""1""",119
NA,"""Maryland""","""24""","""2020""","""2020""","""No""","""2""",68396
NA,"""Maryland""","""24""","""2020""","""2020""","""Unknown or Not Stated""","""9""",39
NA,"""Maryland""","""24""","""2021""","""2021""","""Yes""","""1""",108
NA,"""Maryland""","""24""","""2021""","""2021""","""No""","""2""",68135
NA,"""Maryland""","""24""","""2021""","""2021""","""Unknown or Not Stated""","""9""",42
NA,"""Massachusetts""","""25""","""2016""","""2016""","""Yes""","""1""",99
NA,"""Massachusetts""","""25""","""2016""","""2016""","""No""","""2""",71122
NA,"""Massachusetts""","""25""","""2016""","""2016""","""Unknown or Not Stated""","""9""",96
NA,"""Massachusetts""","""25""","""2017""","""2017""","""Yes""","""1""",88
NA,"""Massachusetts""","""25""","""2017""","""2017""","""No""","""2""",70543
NA,"""Massachusetts""","""25""","""2017""","""2017""","""Unknown or Not Stated""","""9""",71
NA,"""Massachusetts""","""25""","""2018""","""2018""","""Yes""","""1""",83
NA,"""Massachusetts""","""25""","""2018""","""2018""","""No""","""2""",68950
NA,"""Massachusetts""","""25""","""2018""","""2018""","""Unknown or Not Stated""","""9""",76
NA,"""Massachusetts""","""25""","""2019""","""2019""","""Yes""","""1""",101
NA,"""Massachusetts""","""25""","""2019""","""2019""","""No""","""2""",68879
NA,"""Massachusetts""","""25""","""2019""","""2019""","""Unknown or Not Stated""","""9""",137
NA,"""Massachusetts""","""25""","""2020""","""2020""","""Yes""","""1""",134
NA,"""Massachusetts""","""25""","""2020""","""2020""","""No""","""2""",66061
NA,"""Massachusetts""","""25""","""2020""","""2020""","""Unknown or Not Stated""","""9""",233
NA,"""Massachusetts""","""25""","""2021""","""2021""","""Yes""","""1""",253
NA,"""Massachusetts""","""25""","""2021""","""2021""","""No""","""2""",68672
NA,"""Massachusetts""","""25""","""2021""","""2021""","""Unknown or Not Stated""","""9""",212
NA,"""Michigan""","""26""","""2016""","""2016""","""Yes""","""1""",122
NA,"""Michigan""","""26""","""2016""","""2016""","""No""","""2""",112925
NA,"""Michigan""","""26""","""2016""","""2016""","""Unknown or Not Stated""","""9""",268
NA,"""Michigan""","""26""","""2017""","""2017""","""Yes""","""1""",88
NA,"""Michigan""","""26""","""2017""","""2017""","""No""","""2""",111026
NA,"""Michigan""","""26""","""2017""","""2017""","""Unknown or Not Stated""","""9""",312
NA,"""Michigan""","""26""","""2018""","""2018""","""Yes""","""1""",81
NA,"""Michigan""","""26""","""2018""","""2018""","""No""","""2""",109682
NA,"""Michigan""","""26""","""2018""","""2018""","""Unknown or Not Stated""","""9""",269
NA,"""Michigan""","""26""","""2019""","""2019""","""Yes""","""1""",77
NA,"""Michigan""","""26""","""2019""","""2019""","""No""","""2""",107570
NA,"""Michigan""","""26""","""2019""","""2019""","""Unknown or Not Stated""","""9""",239
NA,"""Michigan""","""26""","""2020""","""2020""","""Yes""","""1""",352
NA,"""Michigan""","""26""","""2020""","""2020""","""No""","""2""",103540
NA,"""Michigan""","""26""","""2020""","""2020""","""Unknown or Not Stated""","""9""",182
NA,"""Michigan""","""26""","""2021""","""2021""","""Yes""","""1""",553
NA,"""Michigan""","""26""","""2021""","""2021""","""No""","""2""",104282
NA,"""Michigan""","""26""","""2021""","""2021""","""Unknown or Not Stated""","""9""",145
NA,"""Minnesota""","""27""","""2016""","""2016""","""Yes""","""1""",88
NA,"""Minnesota""","""27""","""2016""","""2016""","""No""","""2""",69597
NA,"""Minnesota""","""27""","""2016""","""2016""","""Unknown or Not Stated""","""9""",64
NA,"""Minnesota""","""27""","""2017""","""2017""","""Yes""","""1""",90
NA,"""Minnesota""","""27""","""2017""","""2017""","""No""","""2""",68402
NA,"""Minnesota""","""27""","""2017""","""2017""","""Unknown or Not Stated""","""9""",103
NA,"""Minnesota""","""27""","""2018""","""2018""","""Yes""","""1""",89
NA,"""Minnesota""","""27""","""2018""","""2018""","""No""","""2""",67212
NA,"""Minnesota""","""27""","""2018""","""2018""","""Unknown or Not Stated""","""9""",43
NA,"""Minnesota""","""27""","""2019""","""2019""","""Yes""","""1""",91
NA,"""Minnesota""","""27""","""2019""","""2019""","""No""","""2""",65857
NA,"""Minnesota""","""27""","""2019""","""2019""","""Unknown or Not Stated""","""9""",79
NA,"""Minnesota""","""27""","""2020""","""2020""","""Yes""","""1""",84
NA,"""Minnesota""","""27""","""2020""","""2020""","""No""","""2""",63305
NA,"""Minnesota""","""27""","""2020""","""2020""","""Unknown or Not Stated""","""9""",54
