"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Infections Checked""","""Infections Checked Code""","Births"
NA,"""Connecticut""","""09""","""2021""","""2021""","""Unknown or Not Stated""","""9""",30
NA,"""Delaware""","""10""","""2016""","""2016""","""At least one checked""","""0""",353
NA,"""Delaware""","""10""","""2016""","""2016""","""None checked""","""1""",10639
NA,"""Delaware""","""10""","""2017""","""2017""","""At least one checked""","""0""",418
NA,"""Delaware""","""10""","""2017""","""2017""","""None checked""","""1""",10436
NA,"""Delaware""","""10""","""2018""","""2018""","""At least one checked""","""0""",415
NA,"""Delaware""","""10""","""2018""","""2018""","""None checked""","""1""",10202
NA,"""Delaware""","""10""","""2019""","""2019""","""At least one checked""","""0""",481
NA,"""Delaware""","""10""","""2019""","""2019""","""None checked""","""1""",10035
NA,"""Delaware""","""10""","""2019""","""2019""","""Unknown or Not Stated""","""9""",46
NA,"""Delaware""","""10""","""2020""","""2020""","""At least one checked""","""0""",374
NA,"""Delaware""","""10""","""2020""","""2020""","""None checked""","""1""",9899
NA,"""Delaware""","""10""","""2020""","""2020""","""Unknown or Not Stated""","""9""",119
NA,"""Delaware""","""10""","""2021""","""2021""","""At least one checked""","""0""",289
NA,"""Delaware""","""10""","""2021""","""2021""","""None checked""","""1""",10104
NA,"""Delaware""","""10""","""2021""","""2021""","""Unknown or Not Stated""","""9""",89
NA,"""District of Columbia""","""11""","""2016""","""2016""","""At least one checked""","""0""",190
NA,"""District of Columbia""","""11""","""2016""","""2016""","""None checked""","""1""",9652
NA,"""District of Columbia""","""11""","""2016""","""2016""","""Unknown or Not Stated""","""9""",16
NA,"""District of Columbia""","""11""","""2017""","""2017""","""At least one checked""","""0""",194
NA,"""District of Columbia""","""11""","""2017""","""2017""","""None checked""","""1""",9363
NA,"""District of Columbia""","""11""","""2018""","""2018""","""At least one checked""","""0""",210
NA,"""District of Columbia""","""11""","""2018""","""2018""","""None checked""","""1""",8999
NA,"""District of Columbia""","""11""","""2019""","""2019""","""At least one checked""","""0""",220
NA,"""District of Columbia""","""11""","""2019""","""2019""","""None checked""","""1""",8853
NA,"""District of Columbia""","""11""","""2020""","""2020""","""At least one checked""","""0""",261
NA,"""District of Columbia""","""11""","""2020""","""2020""","""None checked""","""1""",8608
NA,"""District of Columbia""","""11""","""2021""","""2021""","""At least one checked""","""0""",187
NA,"""District of Columbia""","""11""","""2021""","""2021""","""None checked""","""1""",8367
NA,"""District of Columbia""","""11""","""2021""","""2021""","""Unknown or Not Stated""","""9""",106
NA,"""Florida""","""12""","""2016""","""2016""","""At least one checked""","""0""",5689
NA,"""Florida""","""12""","""2016""","""2016""","""None checked""","""1""",216851
NA,"""Florida""","""12""","""2016""","""2016""","""Unknown or Not Stated""","""9""",2482
NA,"""Florida""","""12""","""2017""","""2017""","""At least one checked""","""0""",6029
NA,"""Florida""","""12""","""2017""","""2017""","""None checked""","""1""",215186
NA,"""Florida""","""12""","""2017""","""2017""","""Unknown or Not Stated""","""9""",2415
NA,"""Florida""","""12""","""2018""","""2018""","""At least one checked""","""0""",6216
NA,"""Florida""","""12""","""2018""","""2018""","""None checked""","""1""",212936
NA,"""Florida""","""12""","""2018""","""2018""","""Unknown or Not Stated""","""9""",2390
NA,"""Florida""","""12""","""2019""","""2019""","""At least one checked""","""0""",6204
NA,"""Florida""","""12""","""2019""","""2019""","""None checked""","""1""",212728
NA,"""Florida""","""12""","""2019""","""2019""","""Unknown or Not Stated""","""9""",1070
NA,"""Florida""","""12""","""2020""","""2020""","""At least one checked""","""0""",5947
NA,"""Florida""","""12""","""2020""","""2020""","""None checked""","""1""",202902
NA,"""Florida""","""12""","""2020""","""2020""","""Unknown or Not Stated""","""9""",822
NA,"""Florida""","""12""","""2021""","""2021""","""At least one checked""","""0""",6316
NA,"""Florida""","""12""","""2021""","""2021""","""None checked""","""1""",208666
NA,"""Florida""","""12""","""2021""","""2021""","""Unknown or Not Stated""","""9""",1278
NA,"""Georgia""","""13""","""2016""","""2016""","""At least one checked""","""0""",3910
NA,"""Georgia""","""13""","""2016""","""2016""","""None checked""","""1""",125601
NA,"""Georgia""","""13""","""2016""","""2016""","""Unknown or Not Stated""","""9""",531
NA,"""Georgia""","""13""","""2017""","""2017""","""At least one checked""","""0""",3997
NA,"""Georgia""","""13""","""2017""","""2017""","""None checked""","""1""",124710
NA,"""Georgia""","""13""","""2017""","""2017""","""Unknown or Not Stated""","""9""",536
NA,"""Georgia""","""13""","""2018""","""2018""","""At least one checked""","""0""",3543
NA,"""Georgia""","""13""","""2018""","""2018""","""None checked""","""1""",122126
NA,"""Georgia""","""13""","""2018""","""2018""","""Unknown or Not Stated""","""9""",503
NA,"""Georgia""","""13""","""2019""","""2019""","""At least one checked""","""0""",3646
NA,"""Georgia""","""13""","""2019""","""2019""","""None checked""","""1""",122422
NA,"""Georgia""","""13""","""2019""","""2019""","""Unknown or Not Stated""","""9""",303
NA,"""Georgia""","""13""","""2020""","""2020""","""At least one checked""","""0""",3931
NA,"""Georgia""","""13""","""2020""","""2020""","""None checked""","""1""",118243
NA,"""Georgia""","""13""","""2020""","""2020""","""Unknown or Not Stated""","""9""",299
NA,"""Georgia""","""13""","""2021""","""2021""","""At least one checked""","""0""",4076
NA,"""Georgia""","""13""","""2021""","""2021""","""None checked""","""1""",119686
NA,"""Georgia""","""13""","""2021""","""2021""","""Unknown or Not Stated""","""9""",311
NA,"""Hawaii""","""15""","""2016""","""2016""","""At least one checked""","""0""",342
NA,"""Hawaii""","""15""","""2016""","""2016""","""None checked""","""1""",17717
NA,"""Hawaii""","""15""","""2017""","""2017""","""At least one checked""","""0""",343
NA,"""Hawaii""","""15""","""2017""","""2017""","""None checked""","""1""",17174
NA,"""Hawaii""","""15""","""2018""","""2018""","""At least one checked""","""0""",266
NA,"""Hawaii""","""15""","""2018""","""2018""","""None checked""","""1""",16706
NA,"""Hawaii""","""15""","""2019""","""2019""","""At least one checked""","""0""",260
NA,"""Hawaii""","""15""","""2019""","""2019""","""None checked""","""1""",16537
NA,"""Hawaii""","""15""","""2020""","""2020""","""At least one checked""","""0""",222
NA,"""Hawaii""","""15""","""2020""","""2020""","""None checked""","""1""",15562
NA,"""Hawaii""","""15""","""2021""","""2021""","""At least one checked""","""0""",216
NA,"""Hawaii""","""15""","""2021""","""2021""","""None checked""","""1""",15404
NA,"""Idaho""","""16""","""2016""","""2016""","""At least one checked""","""0""",394
NA,"""Idaho""","""16""","""2016""","""2016""","""None checked""","""1""",22016
NA,"""Idaho""","""16""","""2016""","""2016""","""Unknown or Not Stated""","""9""",72
NA,"""Idaho""","""16""","""2017""","""2017""","""At least one checked""","""0""",373
NA,"""Idaho""","""16""","""2017""","""2017""","""None checked""","""1""",21758
NA,"""Idaho""","""16""","""2017""","""2017""","""Unknown or Not Stated""","""9""",50
NA,"""Idaho""","""16""","""2018""","""2018""","""At least one checked""","""0""",401
NA,"""Idaho""","""16""","""2018""","""2018""","""None checked""","""1""",20963
NA,"""Idaho""","""16""","""2018""","""2018""","""Unknown or Not Stated""","""9""",39
NA,"""Idaho""","""16""","""2019""","""2019""","""At least one checked""","""0""",388
NA,"""Idaho""","""16""","""2019""","""2019""","""None checked""","""1""",21623
NA,"""Idaho""","""16""","""2019""","""2019""","""Unknown or Not Stated""","""9""",52
NA,"""Idaho""","""16""","""2020""","""2020""","""At least one checked""","""0""",374
NA,"""Idaho""","""16""","""2020""","""2020""","""None checked""","""1""",21124
NA,"""Idaho""","""16""","""2020""","""2020""","""Unknown or Not Stated""","""9""",35
NA,"""Idaho""","""16""","""2021""","""2021""","""At least one checked""","""0""",336
NA,"""Idaho""","""16""","""2021""","""2021""","""None checked""","""1""",22018
NA,"""Idaho""","""16""","""2021""","""2021""","""Unknown or Not Stated""","""9""",73
NA,"""Illinois""","""17""","""2016""","""2016""","""At least one checked""","""0""",3900
NA,"""Illinois""","""17""","""2016""","""2016""","""None checked""","""1""",150222
NA,"""Illinois""","""17""","""2016""","""2016""","""Unknown or Not Stated""","""9""",323
NA,"""Illinois""","""17""","""2017""","""2017""","""At least one checked""","""0""",3866
NA,"""Illinois""","""17""","""2017""","""2017""","""None checked""","""1""",145041
NA,"""Illinois""","""17""","""2017""","""2017""","""Unknown or Not Stated""","""9""",483
NA,"""Illinois""","""17""","""2018""","""2018""","""At least one checked""","""0""",3433
NA,"""Illinois""","""17""","""2018""","""2018""","""None checked""","""1""",140997
NA,"""Illinois""","""17""","""2018""","""2018""","""Unknown or Not Stated""","""9""",385
NA,"""Illinois""","""17""","""2019""","""2019""","""At least one checked""","""0""",3548
NA,"""Illinois""","""17""","""2019""","""2019""","""None checked""","""1""",136429
NA,"""Illinois""","""17""","""2019""","""2019""","""Unknown or Not Stated""","""9""",151
NA,"""Illinois""","""17""","""2020""","""2020""","""At least one checked""","""0""",3515
NA,"""Illinois""","""17""","""2020""","""2020""","""None checked""","""1""",129560
NA,"""Illinois""","""17""","""2020""","""2020""","""Unknown or Not Stated""","""9""",223
NA,"""Illinois""","""17""","""2021""","""2021""","""At least one checked""","""0""",3306
NA,"""Illinois""","""17""","""2021""","""2021""","""None checked""","""1""",128732
NA,"""Illinois""","""17""","""2021""","""2021""","""Unknown or Not Stated""","""9""",151
NA,"""Indiana""","""18""","""2016""","""2016""","""At least one checked""","""0""",2701
NA,"""Indiana""","""18""","""2016""","""2016""","""None checked""","""1""",80381
NA,"""Indiana""","""18""","""2017""","""2017""","""At least one checked""","""0""",2854
NA,"""Indiana""","""18""","""2017""","""2017""","""None checked""","""1""",79312
NA,"""Indiana""","""18""","""2018""","""2018""","""At least one checked""","""0""",2938
NA,"""Indiana""","""18""","""2018""","""2018""","""None checked""","""1""",78706
NA,"""Indiana""","""18""","""2019""","""2019""","""At least one checked""","""0""",2928
NA,"""Indiana""","""18""","""2019""","""2019""","""None checked""","""1""",77926
NA,"""Indiana""","""18""","""2020""","""2020""","""At least one checked""","""0""",2763
NA,"""Indiana""","""18""","""2020""","""2020""","""None checked""","""1""",75803
NA,"""Indiana""","""18""","""2020""","""2020""","""Unknown or Not Stated""","""9""",50
NA,"""Indiana""","""18""","""2021""","""2021""","""At least one checked""","""0""",2790
NA,"""Indiana""","""18""","""2021""","""2021""","""None checked""","""1""",74740
NA,"""Indiana""","""18""","""2021""","""2021""","""Unknown or Not Stated""","""9""",2416
NA,"""Iowa""","""19""","""2016""","""2016""","""At least one checked""","""0""",919
NA,"""Iowa""","""19""","""2016""","""2016""","""None checked""","""1""",38483
NA,"""Iowa""","""19""","""2017""","""2017""","""At least one checked""","""0""",936
NA,"""Iowa""","""19""","""2017""","""2017""","""None checked""","""1""",37488
NA,"""Iowa""","""19""","""2018""","""2018""","""At least one checked""","""0""",1031
NA,"""Iowa""","""19""","""2018""","""2018""","""None checked""","""1""",36753
NA,"""Iowa""","""19""","""2019""","""2019""","""At least one checked""","""0""",1028
NA,"""Iowa""","""19""","""2019""","""2019""","""None checked""","""1""",36617
NA,"""Iowa""","""19""","""2020""","""2020""","""At least one checked""","""0""",1031
NA,"""Iowa""","""19""","""2020""","""2020""","""None checked""","""1""",35080
NA,"""Iowa""","""19""","""2021""","""2021""","""At least one checked""","""0""",1096
NA,"""Iowa""","""19""","""2021""","""2021""","""None checked""","""1""",35726
NA,"""Iowa""","""19""","""2021""","""2021""","""Unknown or Not Stated""","""9""",13
NA,"""Kansas""","""20""","""2016""","""2016""","""At least one checked""","""0""",722
NA,"""Kansas""","""20""","""2016""","""2016""","""None checked""","""1""",37331
NA,"""Kansas""","""20""","""2017""","""2017""","""At least one checked""","""0""",798
NA,"""Kansas""","""20""","""2017""","""2017""","""None checked""","""1""",35720
NA,"""Kansas""","""20""","""2018""","""2018""","""At least one checked""","""0""",834
NA,"""Kansas""","""20""","""2018""","""2018""","""None checked""","""1""",35426
NA,"""Kansas""","""20""","""2019""","""2019""","""At least one checked""","""0""",855
NA,"""Kansas""","""20""","""2019""","""2019""","""None checked""","""1""",34540
NA,"""Kansas""","""20""","""2020""","""2020""","""At least one checked""","""0""",791
NA,"""Kansas""","""20""","""2020""","""2020""","""None checked""","""1""",33583
NA,"""Kansas""","""20""","""2021""","""2021""","""At least one checked""","""0""",775
NA,"""Kansas""","""20""","""2021""","""2021""","""None checked""","""1""",33927
NA,"""Kentucky""","""21""","""2016""","""2016""","""At least one checked""","""0""",2471
NA,"""Kentucky""","""21""","""2016""","""2016""","""None checked""","""1""",52458
NA,"""Kentucky""","""21""","""2016""","""2016""","""Unknown or Not Stated""","""9""",520
NA,"""Kentucky""","""21""","""2017""","""2017""","""At least one checked""","""0""",2590
NA,"""Kentucky""","""21""","""2017""","""2017""","""None checked""","""1""",51932
NA,"""Kentucky""","""21""","""2017""","""2017""","""Unknown or Not Stated""","""9""",230
NA,"""Kentucky""","""21""","""2018""","""2018""","""At least one checked""","""0""",2674
NA,"""Kentucky""","""21""","""2018""","""2018""","""None checked""","""1""",51097
NA,"""Kentucky""","""21""","""2018""","""2018""","""Unknown or Not Stated""","""9""",151
NA,"""Kentucky""","""21""","""2019""","""2019""","""At least one checked""","""0""",2547
NA,"""Kentucky""","""21""","""2019""","""2019""","""None checked""","""1""",50311
NA,"""Kentucky""","""21""","""2019""","""2019""","""Unknown or Not Stated""","""9""",211
NA,"""Kentucky""","""21""","""2020""","""2020""","""At least one checked""","""0""",2680
NA,"""Kentucky""","""21""","""2020""","""2020""","""None checked""","""1""",48340
NA,"""Kentucky""","""21""","""2020""","""2020""","""Unknown or Not Stated""","""9""",648
NA,"""Kentucky""","""21""","""2021""","""2021""","""At least one checked""","""0""",2615
NA,"""Kentucky""","""21""","""2021""","""2021""","""None checked""","""1""",49301
NA,"""Kentucky""","""21""","""2021""","""2021""","""Unknown or Not Stated""","""9""",298
NA,"""Louisiana""","""22""","""2016""","""2016""","""At least one checked""","""0""",2941
NA,"""Louisiana""","""22""","""2016""","""2016""","""None checked""","""1""",60237
NA,"""Louisiana""","""22""","""2017""","""2017""","""At least one checked""","""0""",2821
NA,"""Louisiana""","""22""","""2017""","""2017""","""None checked""","""1""",58197
NA,"""Louisiana""","""22""","""2018""","""2018""","""At least one checked""","""0""",2734
NA,"""Louisiana""","""22""","""2018""","""2018""","""None checked""","""1""",56881
NA,"""Louisiana""","""22""","""2019""","""2019""","""At least one checked""","""0""",2856
NA,"""Louisiana""","""22""","""2019""","""2019""","""None checked""","""1""",56083
NA,"""Louisiana""","""22""","""2020""","""2020""","""At least one checked""","""0""",2834
NA,"""Louisiana""","""22""","""2020""","""2020""","""None checked""","""1""",54492
NA,"""Louisiana""","""22""","""2021""","""2021""","""At least one checked""","""0""",2900
NA,"""Louisiana""","""22""","""2021""","""2021""","""None checked""","""1""",54530
NA,"""Maine""","""23""","""2016""","""2016""","""At least one checked""","""0""",340
NA,"""Maine""","""23""","""2016""","""2016""","""None checked""","""1""",12284
NA,"""Maine""","""23""","""2016""","""2016""","""Unknown or Not Stated""","""9""",81
NA,"""Maine""","""23""","""2017""","""2017""","""At least one checked""","""0""",359
NA,"""Maine""","""23""","""2017""","""2017""","""None checked""","""1""",11888
NA,"""Maine""","""23""","""2017""","""2017""","""Unknown or Not Stated""","""9""",51
NA,"""Maine""","""23""","""2018""","""2018""","""At least one checked""","""0""",363
NA,"""Maine""","""23""","""2018""","""2018""","""None checked""","""1""",11900
NA,"""Maine""","""23""","""2018""","""2018""","""Unknown or Not Stated""","""9""",48
NA,"""Maine""","""23""","""2019""","""2019""","""At least one checked""","""0""",348
NA,"""Maine""","""23""","""2019""","""2019""","""None checked""","""1""",11364
NA,"""Maine""","""23""","""2019""","""2019""","""Unknown or Not Stated""","""9""",67
NA,"""Maine""","""23""","""2020""","""2020""","""At least one checked""","""0""",369
NA,"""Maine""","""23""","""2020""","""2020""","""None checked""","""1""",11007
NA,"""Maine""","""23""","""2020""","""2020""","""Unknown or Not Stated""","""9""",163
NA,"""Maine""","""23""","""2021""","""2021""","""At least one checked""","""0""",381
NA,"""Maine""","""23""","""2021""","""2021""","""None checked""","""1""",11578
NA,"""Maine""","""23""","""2021""","""2021""","""Unknown or Not Stated""","""9""",47
NA,"""Maryland""","""24""","""2016""","""2016""","""At least one checked""","""0""",1775
NA,"""Maryland""","""24""","""2016""","""2016""","""None checked""","""1""",71268
NA,"""Maryland""","""24""","""2016""","""2016""","""Unknown or Not Stated""","""9""",93
NA,"""Maryland""","""24""","""2017""","""2017""","""At least one checked""","""0""",1802
NA,"""Maryland""","""24""","""2017""","""2017""","""None checked""","""1""",69797
NA,"""Maryland""","""24""","""2017""","""2017""","""Unknown or Not Stated""","""9""",42
NA,"""Maryland""","""24""","""2018""","""2018""","""At least one checked""","""0""",1862
NA,"""Maryland""","""24""","""2018""","""2018""","""None checked""","""1""",69149
NA,"""Maryland""","""24""","""2018""","""2018""","""Unknown or Not Stated""","""9""",69
NA,"""Maryland""","""24""","""2019""","""2019""","""At least one checked""","""0""",1745
NA,"""Maryland""","""24""","""2019""","""2019""","""None checked""","""1""",68402
NA,"""Maryland""","""24""","""2019""","""2019""","""Unknown or Not Stated""","""9""",31
NA,"""Maryland""","""24""","""2020""","""2020""","""At least one checked""","""0""",1897
NA,"""Maryland""","""24""","""2020""","""2020""","""None checked""","""1""",66630
NA,"""Maryland""","""24""","""2020""","""2020""","""Unknown or Not Stated""","""9""",27
NA,"""Maryland""","""24""","""2021""","""2021""","""At least one checked""","""0""",1710
NA,"""Maryland""","""24""","""2021""","""2021""","""None checked""","""1""",66556
NA,"""Maryland""","""24""","""2021""","""2021""","""Unknown or Not Stated""","""9""",19
NA,"""Massachusetts""","""25""","""2016""","""2016""","""At least one checked""","""0""",1896
NA,"""Massachusetts""","""25""","""2016""","""2016""","""None checked""","""1""",69315
NA,"""Massachusetts""","""25""","""2016""","""2016""","""Unknown or Not Stated""","""9""",106
NA,"""Massachusetts""","""25""","""2017""","""2017""","""At least one checked""","""0""",1930
NA,"""Massachusetts""","""25""","""2017""","""2017""","""None checked""","""1""",68696
NA,"""Massachusetts""","""25""","""2017""","""2017""","""Unknown or Not Stated""","""9""",76
NA,"""Massachusetts""","""25""","""2018""","""2018""","""At least one checked""","""0""",1925
NA,"""Massachusetts""","""25""","""2018""","""2018""","""None checked""","""1""",67110
NA,"""Massachusetts""","""25""","""2018""","""2018""","""Unknown or Not Stated""","""9""",74
NA,"""Massachusetts""","""25""","""2019""","""2019""","""At least one checked""","""0""",1950
NA,"""Massachusetts""","""25""","""2019""","""2019""","""None checked""","""1""",67026
NA,"""Massachusetts""","""25""","""2019""","""2019""","""Unknown or Not Stated""","""9""",141
NA,"""Massachusetts""","""25""","""2020""","""2020""","""At least one checked""","""0""",1937
NA,"""Massachusetts""","""25""","""2020""","""2020""","""None checked""","""1""",64256
NA,"""Massachusetts""","""25""","""2020""","""2020""","""Unknown or Not Stated""","""9""",235
NA,"""Massachusetts""","""25""","""2021""","""2021""","""At least one checked""","""0""",1916
NA,"""Massachusetts""","""25""","""2021""","""2021""","""None checked""","""1""",66540
NA,"""Massachusetts""","""25""","""2021""","""2021""","""Unknown or Not Stated""","""9""",681
