"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Syphilis""","""Syphilis Code""","Births"
NA,"""Delaware""","""10""","""2021""","""2021""","""No""","""2""",10385
NA,"""Delaware""","""10""","""2021""","""2021""","""Unknown or Not Stated""","""9""",89
NA,"""District of Columbia""","""11""","""2016""","""2016""","""No""","""2""",9833
NA,"""District of Columbia""","""11""","""2016""","""2016""","""Unknown or Not Stated""","""9""",16
NA,"""District of Columbia""","""11""","""2017""","""2017""","""No""","""2""",9550
NA,"""District of Columbia""","""11""","""2018""","""2018""","""No""","""2""",9200
NA,"""District of Columbia""","""11""","""2019""","""2019""","""Yes""","""1""",15
NA,"""District of Columbia""","""11""","""2019""","""2019""","""No""","""2""",9058
NA,"""District of Columbia""","""11""","""2020""","""2020""","""Yes""","""1""",27
NA,"""District of Columbia""","""11""","""2020""","""2020""","""No""","""2""",8842
NA,"""District of Columbia""","""11""","""2021""","""2021""","""Yes""","""1""",23
NA,"""District of Columbia""","""11""","""2021""","""2021""","""No""","""2""",8531
NA,"""District of Columbia""","""11""","""2021""","""2021""","""Unknown or Not Stated""","""9""",106
NA,"""Florida""","""12""","""2016""","""2016""","""Yes""","""1""",238
NA,"""Florida""","""12""","""2016""","""2016""","""No""","""2""",222302
NA,"""Florida""","""12""","""2016""","""2016""","""Unknown or Not Stated""","""9""",2482
NA,"""Florida""","""12""","""2017""","""2017""","""Yes""","""1""",290
NA,"""Florida""","""12""","""2017""","""2017""","""No""","""2""",220925
NA,"""Florida""","""12""","""2017""","""2017""","""Unknown or Not Stated""","""9""",2415
NA,"""Florida""","""12""","""2018""","""2018""","""Yes""","""1""",340
NA,"""Florida""","""12""","""2018""","""2018""","""No""","""2""",218812
NA,"""Florida""","""12""","""2018""","""2018""","""Unknown or Not Stated""","""9""",2390
NA,"""Florida""","""12""","""2019""","""2019""","""Yes""","""1""",441
NA,"""Florida""","""12""","""2019""","""2019""","""No""","""2""",218491
NA,"""Florida""","""12""","""2019""","""2019""","""Unknown or Not Stated""","""9""",1070
NA,"""Florida""","""12""","""2020""","""2020""","""Yes""","""1""",415
NA,"""Florida""","""12""","""2020""","""2020""","""No""","""2""",208434
NA,"""Florida""","""12""","""2020""","""2020""","""Unknown or Not Stated""","""9""",822
NA,"""Florida""","""12""","""2021""","""2021""","""Yes""","""1""",522
NA,"""Florida""","""12""","""2021""","""2021""","""No""","""2""",214460
NA,"""Florida""","""12""","""2021""","""2021""","""Unknown or Not Stated""","""9""",1278
NA,"""Georgia""","""13""","""2016""","""2016""","""Yes""","""1""",107
NA,"""Georgia""","""13""","""2016""","""2016""","""No""","""2""",129404
NA,"""Georgia""","""13""","""2016""","""2016""","""Unknown or Not Stated""","""9""",531
NA,"""Georgia""","""13""","""2017""","""2017""","""Yes""","""1""",117
NA,"""Georgia""","""13""","""2017""","""2017""","""No""","""2""",128590
NA,"""Georgia""","""13""","""2017""","""2017""","""Unknown or Not Stated""","""9""",536
NA,"""Georgia""","""13""","""2018""","""2018""","""Yes""","""1""",135
NA,"""Georgia""","""13""","""2018""","""2018""","""No""","""2""",125534
NA,"""Georgia""","""13""","""2018""","""2018""","""Unknown or Not Stated""","""9""",503
NA,"""Georgia""","""13""","""2019""","""2019""","""Yes""","""1""",181
NA,"""Georgia""","""13""","""2019""","""2019""","""No""","""2""",125887
NA,"""Georgia""","""13""","""2019""","""2019""","""Unknown or Not Stated""","""9""",303
NA,"""Georgia""","""13""","""2020""","""2020""","""Yes""","""1""",183
NA,"""Georgia""","""13""","""2020""","""2020""","""No""","""2""",121991
NA,"""Georgia""","""13""","""2020""","""2020""","""Unknown or Not Stated""","""9""",299
NA,"""Georgia""","""13""","""2021""","""2021""","""Yes""","""1""",274
NA,"""Georgia""","""13""","""2021""","""2021""","""No""","""2""",123488
NA,"""Georgia""","""13""","""2021""","""2021""","""Unknown or Not Stated""","""9""",311
NA,"""Hawaii""","""15""","""2016""","""2016""","""Yes""","""1""",14
NA,"""Hawaii""","""15""","""2016""","""2016""","""No""","""2""",18045
NA,"""Hawaii""","""15""","""2017""","""2017""","""No""","""2""",17512
NA,"""Hawaii""","""15""","""2018""","""2018""","""No""","""2""",16968
NA,"""Hawaii""","""15""","""2019""","""2019""","""Yes""","""1""",13
NA,"""Hawaii""","""15""","""2019""","""2019""","""No""","""2""",16784
NA,"""Hawaii""","""15""","""2020""","""2020""","""No""","""2""",15777
NA,"""Hawaii""","""15""","""2021""","""2021""","""Yes""","""1""",16
NA,"""Hawaii""","""15""","""2021""","""2021""","""No""","""2""",15604
NA,"""Idaho""","""16""","""2016""","""2016""","""Yes""","""1""",11
NA,"""Idaho""","""16""","""2016""","""2016""","""No""","""2""",22399
NA,"""Idaho""","""16""","""2016""","""2016""","""Unknown or Not Stated""","""9""",72
NA,"""Idaho""","""16""","""2017""","""2017""","""Yes""","""1""",10
NA,"""Idaho""","""16""","""2017""","""2017""","""No""","""2""",22121
NA,"""Idaho""","""16""","""2017""","""2017""","""Unknown or Not Stated""","""9""",50
NA,"""Idaho""","""16""","""2018""","""2018""","""Yes""","""1""",21
NA,"""Idaho""","""16""","""2018""","""2018""","""No""","""2""",21343
NA,"""Idaho""","""16""","""2018""","""2018""","""Unknown or Not Stated""","""9""",39
NA,"""Idaho""","""16""","""2019""","""2019""","""Yes""","""1""",20
NA,"""Idaho""","""16""","""2019""","""2019""","""No""","""2""",21991
NA,"""Idaho""","""16""","""2019""","""2019""","""Unknown or Not Stated""","""9""",52
NA,"""Idaho""","""16""","""2020""","""2020""","""Yes""","""1""",23
NA,"""Idaho""","""16""","""2020""","""2020""","""No""","""2""",21475
NA,"""Idaho""","""16""","""2020""","""2020""","""Unknown or Not Stated""","""9""",35
NA,"""Idaho""","""16""","""2021""","""2021""","""Yes""","""1""",24
NA,"""Idaho""","""16""","""2021""","""2021""","""No""","""2""",22330
NA,"""Idaho""","""16""","""2021""","""2021""","""Unknown or Not Stated""","""9""",73
NA,"""Illinois""","""17""","""2016""","""2016""","""Yes""","""1""",160
NA,"""Illinois""","""17""","""2016""","""2016""","""No""","""2""",153962
NA,"""Illinois""","""17""","""2016""","""2016""","""Unknown or Not Stated""","""9""",323
NA,"""Illinois""","""17""","""2017""","""2017""","""Yes""","""1""",166
NA,"""Illinois""","""17""","""2017""","""2017""","""No""","""2""",148741
NA,"""Illinois""","""17""","""2017""","""2017""","""Unknown or Not Stated""","""9""",483
NA,"""Illinois""","""17""","""2018""","""2018""","""Yes""","""1""",155
NA,"""Illinois""","""17""","""2018""","""2018""","""No""","""2""",144275
NA,"""Illinois""","""17""","""2018""","""2018""","""Unknown or Not Stated""","""9""",385
NA,"""Illinois""","""17""","""2019""","""2019""","""Yes""","""1""",169
NA,"""Illinois""","""17""","""2019""","""2019""","""No""","""2""",139808
NA,"""Illinois""","""17""","""2019""","""2019""","""Unknown or Not Stated""","""9""",151
NA,"""Illinois""","""17""","""2020""","""2020""","""Yes""","""1""",213
NA,"""Illinois""","""17""","""2020""","""2020""","""No""","""2""",132862
NA,"""Illinois""","""17""","""2020""","""2020""","""Unknown or Not Stated""","""9""",223
NA,"""Illinois""","""17""","""2021""","""2021""","""Yes""","""1""",250
NA,"""Illinois""","""17""","""2021""","""2021""","""No""","""2""",131788
NA,"""Illinois""","""17""","""2021""","""2021""","""Unknown or Not Stated""","""9""",151
NA,"""Indiana""","""18""","""2016""","""2016""","""Yes""","""1""",54
NA,"""Indiana""","""18""","""2016""","""2016""","""No""","""2""",83028
NA,"""Indiana""","""18""","""2017""","""2017""","""Yes""","""1""",76
NA,"""Indiana""","""18""","""2017""","""2017""","""No""","""2""",82090
NA,"""Indiana""","""18""","""2018""","""2018""","""Yes""","""1""",66
NA,"""Indiana""","""18""","""2018""","""2018""","""No""","""2""",81578
NA,"""Indiana""","""18""","""2019""","""2019""","""Yes""","""1""",66
NA,"""Indiana""","""18""","""2019""","""2019""","""No""","""2""",80788
NA,"""Indiana""","""18""","""2020""","""2020""","""Yes""","""1""",72
NA,"""Indiana""","""18""","""2020""","""2020""","""No""","""2""",78494
NA,"""Indiana""","""18""","""2020""","""2020""","""Unknown or Not Stated""","""9""",50
NA,"""Indiana""","""18""","""2021""","""2021""","""Yes""","""1""",117
NA,"""Indiana""","""18""","""2021""","""2021""","""No""","""2""",77413
NA,"""Indiana""","""18""","""2021""","""2021""","""Unknown or Not Stated""","""9""",2416
NA,"""Iowa""","""19""","""2016""","""2016""","""Yes""","""1""",32
NA,"""Iowa""","""19""","""2016""","""2016""","""No""","""2""",39370
NA,"""Iowa""","""19""","""2017""","""2017""","""Yes""","""1""",19
NA,"""Iowa""","""19""","""2017""","""2017""","""No""","""2""",38405
NA,"""Iowa""","""19""","""2018""","""2018""","""Yes""","""1""",25
NA,"""Iowa""","""19""","""2018""","""2018""","""No""","""2""",37759
NA,"""Iowa""","""19""","""2019""","""2019""","""Yes""","""1""",34
NA,"""Iowa""","""19""","""2019""","""2019""","""No""","""2""",37611
NA,"""Iowa""","""19""","""2020""","""2020""","""Yes""","""1""",36
NA,"""Iowa""","""19""","""2020""","""2020""","""No""","""2""",36075
NA,"""Iowa""","""19""","""2021""","""2021""","""Yes""","""1""",63
NA,"""Iowa""","""19""","""2021""","""2021""","""No""","""2""",36759
NA,"""Iowa""","""19""","""2021""","""2021""","""Unknown or Not Stated""","""9""",13
NA,"""Kansas""","""20""","""2016""","""2016""","""Yes""","""1""",22
NA,"""Kansas""","""20""","""2016""","""2016""","""No""","""2""",38031
NA,"""Kansas""","""20""","""2017""","""2017""","""Yes""","""1""",20
NA,"""Kansas""","""20""","""2017""","""2017""","""No""","""2""",36498
NA,"""Kansas""","""20""","""2018""","""2018""","""Yes""","""1""",24
NA,"""Kansas""","""20""","""2018""","""2018""","""No""","""2""",36236
NA,"""Kansas""","""20""","""2019""","""2019""","""Yes""","""1""",33
NA,"""Kansas""","""20""","""2019""","""2019""","""No""","""2""",35362
NA,"""Kansas""","""20""","""2020""","""2020""","""Yes""","""1""",32
NA,"""Kansas""","""20""","""2020""","""2020""","""No""","""2""",34342
NA,"""Kansas""","""20""","""2021""","""2021""","""Yes""","""1""",36
NA,"""Kansas""","""20""","""2021""","""2021""","""No""","""2""",34666
NA,"""Kentucky""","""21""","""2016""","""2016""","""Yes""","""1""",47
NA,"""Kentucky""","""21""","""2016""","""2016""","""No""","""2""",54882
NA,"""Kentucky""","""21""","""2016""","""2016""","""Unknown or Not Stated""","""9""",520
NA,"""Kentucky""","""21""","""2017""","""2017""","""Yes""","""1""",50
NA,"""Kentucky""","""21""","""2017""","""2017""","""No""","""2""",54472
NA,"""Kentucky""","""21""","""2017""","""2017""","""Unknown or Not Stated""","""9""",230
NA,"""Kentucky""","""21""","""2018""","""2018""","""Yes""","""1""",68
NA,"""Kentucky""","""21""","""2018""","""2018""","""No""","""2""",53703
NA,"""Kentucky""","""21""","""2018""","""2018""","""Unknown or Not Stated""","""9""",151
NA,"""Kentucky""","""21""","""2019""","""2019""","""Yes""","""1""",76
NA,"""Kentucky""","""21""","""2019""","""2019""","""No""","""2""",52782
NA,"""Kentucky""","""21""","""2019""","""2019""","""Unknown or Not Stated""","""9""",211
NA,"""Kentucky""","""21""","""2020""","""2020""","""Yes""","""1""",113
NA,"""Kentucky""","""21""","""2020""","""2020""","""No""","""2""",50907
NA,"""Kentucky""","""21""","""2020""","""2020""","""Unknown or Not Stated""","""9""",648
NA,"""Kentucky""","""21""","""2021""","""2021""","""Yes""","""1""",163
NA,"""Kentucky""","""21""","""2021""","""2021""","""No""","""2""",51753
NA,"""Kentucky""","""21""","""2021""","""2021""","""Unknown or Not Stated""","""9""",298
NA,"""Louisiana""","""22""","""2016""","""2016""","""Yes""","""1""",272
NA,"""Louisiana""","""22""","""2016""","""2016""","""No""","""2""",62906
NA,"""Louisiana""","""22""","""2017""","""2017""","""Yes""","""1""",250
NA,"""Louisiana""","""22""","""2017""","""2017""","""No""","""2""",60768
NA,"""Louisiana""","""22""","""2018""","""2018""","""Yes""","""1""",267
NA,"""Louisiana""","""22""","""2018""","""2018""","""No""","""2""",59348
NA,"""Louisiana""","""22""","""2019""","""2019""","""Yes""","""1""",350
NA,"""Louisiana""","""22""","""2019""","""2019""","""No""","""2""",58589
NA,"""Louisiana""","""22""","""2020""","""2020""","""Yes""","""1""",334
NA,"""Louisiana""","""22""","""2020""","""2020""","""No""","""2""",56992
NA,"""Louisiana""","""22""","""2021""","""2021""","""Yes""","""1""",349
NA,"""Louisiana""","""22""","""2021""","""2021""","""No""","""2""",57081
NA,"""Maine""","""23""","""2016""","""2016""","""No""","""2""",12618
NA,"""Maine""","""23""","""2016""","""2016""","""Unknown or Not Stated""","""9""",81
NA,"""Maine""","""23""","""2017""","""2017""","""No""","""2""",12243
NA,"""Maine""","""23""","""2017""","""2017""","""Unknown or Not Stated""","""9""",51
NA,"""Maine""","""23""","""2018""","""2018""","""No""","""2""",12259
NA,"""Maine""","""23""","""2018""","""2018""","""Unknown or Not Stated""","""9""",48
NA,"""Maine""","""23""","""2019""","""2019""","""No""","""2""",11711
NA,"""Maine""","""23""","""2019""","""2019""","""Unknown or Not Stated""","""9""",67
NA,"""Maine""","""23""","""2020""","""2020""","""No""","""2""",11369
NA,"""Maine""","""23""","""2020""","""2020""","""Unknown or Not Stated""","""9""",163
NA,"""Maine""","""23""","""2021""","""2021""","""No""","""2""",11957
NA,"""Maine""","""23""","""2021""","""2021""","""Unknown or Not Stated""","""9""",47
NA,"""Maryland""","""24""","""2016""","""2016""","""Yes""","""1""",91
NA,"""Maryland""","""24""","""2016""","""2016""","""No""","""2""",72952
NA,"""Maryland""","""24""","""2016""","""2016""","""Unknown or Not Stated""","""9""",93
NA,"""Maryland""","""24""","""2017""","""2017""","""Yes""","""1""",64
NA,"""Maryland""","""24""","""2017""","""2017""","""No""","""2""",71535
NA,"""Maryland""","""24""","""2017""","""2017""","""Unknown or Not Stated""","""9""",42
NA,"""Maryland""","""24""","""2018""","""2018""","""Yes""","""1""",102
NA,"""Maryland""","""24""","""2018""","""2018""","""No""","""2""",70909
NA,"""Maryland""","""24""","""2018""","""2018""","""Unknown or Not Stated""","""9""",69
NA,"""Maryland""","""24""","""2019""","""2019""","""Yes""","""1""",93
NA,"""Maryland""","""24""","""2019""","""2019""","""No""","""2""",70054
NA,"""Maryland""","""24""","""2019""","""2019""","""Unknown or Not Stated""","""9""",31
NA,"""Maryland""","""24""","""2020""","""2020""","""Yes""","""1""",141
NA,"""Maryland""","""24""","""2020""","""2020""","""No""","""2""",68386
NA,"""Maryland""","""24""","""2020""","""2020""","""Unknown or Not Stated""","""9""",27
NA,"""Maryland""","""24""","""2021""","""2021""","""Yes""","""1""",137
NA,"""Maryland""","""24""","""2021""","""2021""","""No""","""2""",68129
NA,"""Maryland""","""24""","""2021""","""2021""","""Unknown or Not Stated""","""9""",19
NA,"""Massachusetts""","""25""","""2016""","""2016""","""Yes""","""1""",65
NA,"""Massachusetts""","""25""","""2016""","""2016""","""No""","""2""",71146
NA,"""Massachusetts""","""25""","""2016""","""2016""","""Unknown or Not Stated""","""9""",106
NA,"""Massachusetts""","""25""","""2017""","""2017""","""Yes""","""1""",63
NA,"""Massachusetts""","""25""","""2017""","""2017""","""No""","""2""",70563
NA,"""Massachusetts""","""25""","""2017""","""2017""","""Unknown or Not Stated""","""9""",76
NA,"""Massachusetts""","""25""","""2018""","""2018""","""Yes""","""1""",83
NA,"""Massachusetts""","""25""","""2018""","""2018""","""No""","""2""",68952
NA,"""Massachusetts""","""25""","""2018""","""2018""","""Unknown or Not Stated""","""9""",74
NA,"""Massachusetts""","""25""","""2019""","""2019""","""Yes""","""1""",103
NA,"""Massachusetts""","""25""","""2019""","""2019""","""No""","""2""",68873
NA,"""Massachusetts""","""25""","""2019""","""2019""","""Unknown or Not Stated""","""9""",141
NA,"""Massachusetts""","""25""","""2020""","""2020""","""Yes""","""1""",101
NA,"""Massachusetts""","""25""","""2020""","""2020""","""No""","""2""",66092
NA,"""Massachusetts""","""25""","""2020""","""2020""","""Unknown or Not Stated""","""9""",235
NA,"""Massachusetts""","""25""","""2021""","""2021""","""Yes""","""1""",114
NA,"""Massachusetts""","""25""","""2021""","""2021""","""No""","""2""",68342
NA,"""Massachusetts""","""25""","""2021""","""2021""","""Unknown or Not Stated""","""9""",681
NA,"""Michigan""","""26""","""2016""","""2016""","""Yes""","""1""",55
NA,"""Michigan""","""26""","""2016""","""2016""","""No""","""2""",112235
NA,"""Michigan""","""26""","""2016""","""2016""","""Unknown or Not Stated""","""9""",1025
NA,"""Michigan""","""26""","""2017""","""2017""","""Yes""","""1""",62
NA,"""Michigan""","""26""","""2017""","""2017""","""No""","""2""",109913
NA,"""Michigan""","""26""","""2017""","""2017""","""Unknown or Not Stated""","""9""",1451
NA,"""Michigan""","""26""","""2018""","""2018""","""Yes""","""1""",66
NA,"""Michigan""","""26""","""2018""","""2018""","""No""","""2""",108922
NA,"""Michigan""","""26""","""2018""","""2018""","""Unknown or Not Stated""","""9""",1044
NA,"""Michigan""","""26""","""2019""","""2019""","""Yes""","""1""",92
NA,"""Michigan""","""26""","""2019""","""2019""","""No""","""2""",106315
NA,"""Michigan""","""26""","""2019""","""2019""","""Unknown or Not Stated""","""9""",1479
NA,"""Michigan""","""26""","""2020""","""2020""","""Yes""","""1""",120
NA,"""Michigan""","""26""","""2020""","""2020""","""No""","""2""",102576
NA,"""Michigan""","""26""","""2020""","""2020""","""Unknown or Not Stated""","""9""",1378
NA,"""Michigan""","""26""","""2021""","""2021""","""Yes""","""1""",126
NA,"""Michigan""","""26""","""2021""","""2021""","""No""","""2""",103613
NA,"""Michigan""","""26""","""2021""","""2021""","""Unknown or Not Stated""","""9""",1241
NA,"""Minnesota""","""27""","""2016""","""2016""","""Yes""","""1""",50
NA,"""Minnesota""","""27""","""2016""","""2016""","""No""","""2""",69509
NA,"""Minnesota""","""27""","""2016""","""2016""","""Unknown or Not Stated""","""9""",190
NA,"""Minnesota""","""27""","""2017""","""2017""","""Yes""","""1""",69
NA,"""Minnesota""","""27""","""2017""","""2017""","""No""","""2""",68291
NA,"""Minnesota""","""27""","""2017""","""2017""","""Unknown or Not Stated""","""9""",235
NA,"""Minnesota""","""27""","""2018""","""2018""","""Yes""","""1""",63
NA,"""Minnesota""","""27""","""2018""","""2018""","""No""","""2""",67119
NA,"""Minnesota""","""27""","""2018""","""2018""","""Unknown or Not Stated""","""9""",162
NA,"""Minnesota""","""27""","""2019""","""2019""","""Yes""","""1""",93
NA,"""Minnesota""","""27""","""2019""","""2019""","""No""","""2""",65721
NA,"""Minnesota""","""27""","""2019""","""2019""","""Unknown or Not Stated""","""9""",213
NA,"""Minnesota""","""27""","""2020""","""2020""","""Yes""","""1""",85
NA,"""Minnesota""","""27""","""2020""","""2020""","""No""","""2""",63180
NA,"""Minnesota""","""27""","""2020""","""2020""","""Unknown or Not Stated""","""9""",178
NA,"""Minnesota""","""27""","""2021""","""2021""","""Yes""","""1""",106
NA,"""Minnesota""","""27""","""2021""","""2021""","""No""","""2""",64146
